#Read position (bp)	Clipping profile
0.0	1.357368613920558
1.0	1.1371450114211086
2.0	1.0396362546600182
3.0	0.9988751076345213
4.0	0.9713537508431229
5.0	0.9451812400687444
6.0	0.9261900156307894
7.0	0.9090609899188454
8.0	0.8940814520636328
9.0	0.8801992644946126
10.0	0.8669133196132837
11.0	0.8544883001925383
12.0	0.8425775754123608
13.0	0.8307553922003394
14.0	0.8191696338139268
15.0	0.8078306615004608
16.0	0.7966537014180893
17.0	0.785722585477088
18.0	0.774872475651634
19.0	0.7642098102098299
20.0	0.7536385121309107
21.0	0.7433610967037443
22.0	0.732788856693249
23.0	0.7226169376026094
24.0	0.7125062440644181
25.0	0.7022184673899143
26.0	0.6920465482992747
27.0	0.6819226677190178
28.0	0.6717893678229995
29.0	0.661956544099767
30.0	0.6531212259156574
31.0	0.6446231192358026
32.0	0.6362003670820384
33.0	0.6275816931604389
34.0	0.6193218951693453
35.0	0.6114916179769675
36.0	0.6046644979131695
37.0	0.5985099169947289
38.0	0.5930853330477899
39.0	0.5879781800420071
40.0	0.5831375936722695
41.0	0.578319613660359
42.0	0.5736890780320985
43.0	0.5693957539080929
44.0	0.5654782604829638
45.0	0.5616474247628386
46.0	0.5582263292783304
47.0	0.5548108853832792
48.0	0.5515998406402483
49.0	0.548587543459781
50.0	0.5453783825799025
51.0	0.5422332730472007
52.0	0.5390749764724331
53.0	0.5364027165909492
54.0	0.5337313986410414
55.0	0.5309819003703148
56.0	0.528705251750806
57.0	0.5264738158469513
58.0	0.5243638891164177
59.0	0.5222954073752338
60.0	0.5202834415286178
61.0	0.5185955001441909
62.0	0.51729563456913
63.0	0.5158742598207482
64.0	0.5144462915513335
65.0	0.513120993823717
66.0	0.51172034157001
67.0	0.5104647467790273
68.0	0.5094418090873489
69.0	0.5085893610109503
70.0	0.5078094416659138
71.0	0.5072621794201816
72.0	0.5070558964050089
73.0	0.5071604508099594
74.0	0.507100167189087
75.0	0.5070700253786509
76.0	0.5069814838104946
77.0	0.5070276384577249
78.0	0.5072103731834944
79.0	0.5078103835974899
80.0	0.5086195028213866
81.0	0.5092581324300034
82.0	0.5102763604638011
83.0	0.511353930186895
84.0	0.5129015237664785
85.0	0.5142579052361073
86.0	0.5155634224006249
87.0	0.5168661137704142
88.0	0.5183628430448864
89.0	0.5200036878505069
90.0	0.5220269568760365
91.0	0.5241029740698294
92.0	0.5262722424896593
93.0	0.5284641172673163
94.0	0.5308057591655783
95.0	0.5334036064525478
96.0	0.536006163397398
97.0	0.538823480741606
98.0	0.5418470811009869
99.0	0.5449008232708039
100.0	0.547947971919588
101.0	0.5510723589576147
102.0	0.5543615840214646
103.0	0.5575773384223761
104.0	0.5609720598227526
105.0	0.5647039927273839
106.0	0.5687326340784966
107.0	0.5728469912030373
108.0	0.57760845532038
109.0	0.5822399328802165
110.0	0.586870468508477
111.0	0.592022834229914
112.0	0.5971789676776557
113.0	0.6032600779331581
114.0	0.6099129406553718
115.0	0.6176980051320954
116.0	0.6260096093598762
117.0	0.6345152514923399
118.0	0.6429672035249642
119.0	0.6514266910101975
120.0	0.6601762934208792
121.0	0.6699139820549225
122.0	0.6797628186149491
123.0	0.6899705311054818
124.0	0.7001895467749281
125.0	0.7103256724656747
126.0	0.7202479796886396
127.0	0.7304170729845509
128.0	0.7407519462378612
129.0	0.7510576196123114
130.0	0.7614122734287205
131.0	0.7719722683287262
132.0	0.7828139007699951
133.0	0.7935387336958237
134.0	0.8044971656525328
135.0	0.8154923329407111
136.0	0.8267493572070538
137.0	0.8381118778099232
138.0	0.8498172615065043
139.0	0.8617129153814638
140.0	0.8743263211174354
141.0	0.8875529243094682
142.0	0.9016018337674634
143.0	0.9175854706828319
144.0	0.9345411809847677
145.0	0.9541898736628622
146.0	0.9813966253078326
147.0	1.0176073008890403
148.0	1.118853642144219
149.0	1.3488092816882549
