#Position (bp)	insert size
15197.0	274.81773177317734
45590.0	281.1154524829846
75983.0	285.2265504403886
106376.0	283.17988539157875
136769.0	278.68168903693544
167162.0	278.4080156084871
197555.0	285.8995644161501
221485.0	276.8528944381385
236681.5	283.33088675853804
258341.0	273.63041844149336
288734.0	276.2492853058891
319127.0	277.7754665906824
349520.0	279.00414479137885
379913.0	278.7816355810617
410306.0	279.2210623678647
440699.0	281.4178212787594
471092.0	265.93773806035745
501485.0	271.66914446002806
531878.0	277.95341416719845
562271.0	276.4675857541441
592664.0	277.8087287154902
623057.0	283.13487694300517
653450.0	276.71108850457784
683843.0	280.52147147147144
714236.0	280.7865997638725
744629.0	278.1810843740481
775022.0	277.66828046744575
805415.0	274.1934491773028
835808.0	278.8944649446494
866201.0	276.2857735953501
896594.0	283.6404334188765
926987.0	280.933147632312
957380.0	277.14500915106294
987773.0	277.7700550246163
1018166.0	275.6011178861789
1038382.5	268.70071090047395
1053579.0	268.20806282722515
1078952.0	277.5478106508876
1109345.0	284.78670012547053
1139738.0	276.814375
1170131.0	269.4158437812049
1200524.0	269.71045374780647
1230917.0	275.33463172804534
1261310.0	284.3197205803332
1291703.0	280.3970705120926
1322096.0	277.8518475073314
1348657.5	266.90845455539755
1363854.0	273.45231296402056
1382882.0	276.8071693448702
1413275.0	282.69570514773073
1443668.0	274.94229909050244
1474061.0	278.39047351412114
1504454.0	276.04397834912044
1534847.0	278.11236288170767
1565240.0	277.466484070924
1595633.0	276.96165550821667
1626026.0	275.15046728971964
1656419.0	276.40238853503183
1686812.0	271.8957807428778
1717205.0	278.90643863179076
1747598.0	281.77320283496454
1777991.0	277.16305645573937
1808384.0	267.3504542278127
1838777.0	276.42880960320105
1869170.0	270.0209590346142
1899563.0	281.72709677419357
1929956.0	271.47921891795056
1960349.0	273.24086408640864
1990742.0	273.416252661462
2021135.0	274.05183071802185
2051528.0	278.6925861797576
2081921.0	278.00172532781227
2112314.0	285.6227573945369
2142707.0	278.24124374553253
2173100.0	275.7457598081206
2203493.0	276.62183779761904
2233886.0	277.8321938168847
2264279.0	278.28121526491293
2294672.0	276.1402927849425
2325065.0	271.1263290683006
2355458.0	271.6564197694448
2385851.0	271.19400855920117
2416244.0	279.5821653819201
2446637.0	275.3872823841841
2477030.0	275.53073563990597
2507423.0	275.1947565543071
2537816.0	274.16338028169014
2568209.0	275.5966464834653
2598602.0	276.9214501510574
2628995.0	276.9315633245383
2659388.0	279.9232121922626
2689781.0	275.18815123548677
2720174.0	272.61438408569245
2750567.0	279.71042634022797
2780960.0	281.6589070262598
2811353.0	275.9711656441718
2841746.0	276.54822415153905
2872139.0	270.74733437163053
2889645.5	292.70148401826486
2904842.0	284.1214715173749
2932925.0	277.35280501089323
2963318.0	280.45927601809956
2993711.0	280.38929539295395
3024104.0	279.6286913925822
3054497.0	278.0504556861709
3084890.0	274.9219121511701
3115283.0	275.4131596091205
3145676.0	279.03431997958666
3176069.0	276.26539589442814
3206462.0	273.54367601246105
3236855.0	273.6926886485077
3267248.0	283.42168353755994
3297641.0	287.1754584559656
3322340.5	267.8691696418289
3337537.0	163.5
3358427.0	204.07692307692307
3388820.0	193.4
3410819.5	212.0
3426016.0	275.8630151063611
3449606.0	280.47893087236633
3479999.0	276.10212607928696
3510392.0	280.6329984135378
3540785.0	270.60808115841496
3571178.0	273.1784087605388
3601571.0	280.44957715740657
3631964.0	279.921875
3662357.0	275.9797833236603
3692750.0	276.26919991979145
3723143.0	274.2158280224484
3753536.0	282.79107466386955
3783929.0	275.38039930888846
3814322.0	275.3602362204724
3844715.0	272.23282220496895
3875108.0	276.7312332982428
3905501.0	278.51108020398704
3935894.0	280.02960347637156
3966287.0	277.5102333931777
3987990.0	276.9207656893627
4003186.5	278.37682913411817
4027073.0	279.93023923444974
4057466.0	280.7902159113013
4087859.0	277.4018736258484
4118252.0	276.5567271193589
4148645.0	272.7859381997313
4179038.0	279.4729993493819
4209431.0	278.5193429868165
4239824.0	277.6594286731334
4259839.0	269.6338210779774
4275035.5	268.9429818181818
4300610.0	277.7163090128755
4331003.0	274.33208794367005
4361396.0	277.36676711149374
4391789.0	278.13524108192865
4422182.0	271.54004711425205
4452575.0	278.8788141720897
4482968.0	281.700509180682
4513361.0	281.06953642384104
4543754.0	274.9773111612176
4574147.0	275.7298081573432
4604540.0	273.95744322960473
4634933.0	277.71103845555035
4665326.0	276.99272889152695
4695719.0	274.58643183300717
4726112.0	284.34992066926293
4756505.0	277.5345637040635
4786898.0	286.1742475367796
4817291.0	274.24318818436467
4847684.0	272.86676036542514
4878077.0	276.448564215841
4908470.0	277.90357202750295
4938863.0	277.8828828828829
4969256.0	276.15190067443285
4999649.0	276.19043824701197
5030042.0	273.9314646791964
5060435.0	278.09278024065867
5090828.0	272.711004784689
5121221.0	278.58227474150664
5151614.0	271.88532306375697
5182007.0	274.57191780821915
5212400.0	277.48737137511694
5242793.0	279.062674299134
5273186.0	277.30130293159607
5303579.0	282.03009074988057
5333972.0	272.3038224700825
5352383.0	288.6508313539192
5367579.5	271.2023937996664
5394758.0	282.39218146718144
5425151.0	277.96287749573594
5455544.0	270.4868577075099
5485937.0	280.4653634085213
5516330.0	279.6782376502003
5546723.0	279.68196533993523
5577116.0	271.66534721624646
5607509.0	277.5815661528913
5637902.0	275.21092611862645
5668295.0	278.0644448713023
5698688.0	279.05009887936717
5729081.0	269.9057004830918
5759474.0	274.0363617947939
5789867.0	276.2422018348624
5820260.0	273.99677324728657
5850653.0	277.7672625306695
5881046.0	281.6716203664612
5907241.5	277.8458454188705
5922438.0	288.05087303298126
5941832.0	282.1390519187359
5972225.0	274.8869335679718
6002618.0	279.6787374947161
6033011.0	278.47921316964283
6063404.0	274.9791015069662
6093797.0	279.9780500942634
6124190.0	272.4587712805329
6154583.0	275.1149001536098
6184976.0	278.7987361769352
6215369.0	285.5269248572751
6245762.0	279.97612876824445
6276155.0	283.92787896592245
6306548.0	277.08291110087515
6336941.0	274.6270762898721
6367334.0	274.2075228832952
6397727.0	276.6486061151079
6428120.0	278.74147091722597
6458513.0	275.39529312288613
6488906.0	280.30786056049214
6519299.0	276.08732999284183
6549692.0	276.809608091024
6580085.0	279.7470964374266
6610478.0	280.644384667115
6640871.0	277.51716487622605
6660029.5	268.5836308706399
6675226.0	267.25473712303176
6701657.0	278.32736399403063
6732050.0	282.5485272159631
6762443.0	282.9468851532702
6792836.0	278.6036762761174
6823229.0	277.06974248927037
6853622.0	271.05624731644485
6884015.0	273.96173317450865
6914408.0	281.4584933530281
6944801.0	282.27669902912623
6975194.0	271.6879323597233
7005587.0	276.69924357034796
7035980.0	277.08947065592633
7066373.0	275.66135231316724
7096766.0	275.393462654651
7127159.0	279.08894479798727
7157552.0	277.3769372956064
7187945.0	279.0661400455215
7218338.0	281.0743069448414
7248731.0	273.8048065650645
7279124.0	280.91053828658073
7309517.0	278.80665754673964
7327760.5	259.5064482398048
7342957.0	280.6471152923107
7370303.0	276.4435928877989
7400696.0	283.48221864481195
7431089.0	279.6349523516754
7461482.0	275.1926336375489
7491875.0	272.0077389984825
7522268.0	277.3768328445748
7552661.0	274.7217261904762
7583054.0	276.33095577746076
7613447.0	276.8936099585062
7643840.0	280.405631536605
7674233.0	281.05756862745096
7704626.0	276.7906130931763
7735019.0	280.2910008410429
7765412.0	275.83206377325064
7795805.0	283.164182450433
7826198.0	266.8684627575277
7856591.0	278.7478229317852
7886984.0	276.34284324850057
7917377.0	274.72826574891513
7947770.0	278.0029959003469
7978163.0	281.5346932698034
8008556.0	268.6829085457271
8038949.0	277.62918038468206
8069342.0	273.1151079136691
8099735.0	275.26742993848256
8130128.0	279.74497354497356
8160521.0	275.1957826689241
8190914.0	275.1944010009384
8221307.0	284.68396022481625
8251700.0	278.7196110210697
8282093.0	276.73246597876476
8312486.0	274.1855572146057
8342879.0	277.35888610763453
8373272.0	274.0546184738956
8398726.5	283.13012215195357
8413923.0	275.70307632398755
8434058.0	281.13497300539893
8464451.0	278.4083980872684
8494844.0	277.19856913418016
8525237.0	277.0424434748116
8555630.0	279.0428875865743
8586023.0	274.14519350811486
8616416.0	277.22335588333146
8646809.0	277.7334829219646
8677202.0	275.2
8707595.0	274.27545973367154
8737988.0	278.1655245746692
8768381.0	275.61123971193416
8798774.0	277.97545202586775
8829167.0	277.7572684246112
8859560.0	274.28166266506605
8889953.0	273.67509135200976
8920346.0	274.8410001602821
8950739.0	273.7926752593524
8981132.0	273.97189511697286
9011525.0	279.73752843062925
9041918.0	278.2406072688238
9072311.0	279.2397003745318
9102704.0	277.01310635733654
9133097.0	278.9022381100404
9163490.0	276.390059347181
9193883.0	275.4277948146083
9224276.0	278.23761031907674
9254669.0	272.53354867126706
9285062.0	278.98788950877673
9315455.0	281.3915775548451
9332033.5	257.95525423728816
9347230.0	281.58913529310644
9376241.0	278.9284455888332
9406634.0	280.3789120214909
9437027.0	276.0534759358289
9467420.0	279.5509370156404
9497813.0	276.47336469874034
9528206.0	284.3797595190381
9558599.0	279.49574054700344
9588992.0	280.89846290274903
9619385.0	274.46900352058776
9649778.0	277.9070115114367
9680171.0	274.1837837837838
9710564.0	280.12964478638077
9740957.0	276.5875824352582
9771350.0	281.74680603948894
9801743.0	278.8739547847631
9832136.0	281.30535607420705
9862529.0	274.06968457173025
9892922.0	274.39337851929093
9923315.0	275.9879372738239
9953708.0	273.18679755299473
9984101.0	281.2901331245106
1.0014494E7	275.78131292790977
1.0044887E7	278.0321942953968
1.007528E7	274.7313011572114
1.01041125E7	269.45688842325825
1.0119309E7	253.60103626943004
1.0136066E7	276.0269183168317
1.0166459E7	277.036488340192
1.0196852E7	277.1095199127114
1.0227245E7	272.808572820263
1.0257638E7	277.50447037429916
1.0288031E7	280.34675675675675
1.0318424E7	280.3562922868742
1.0348817E7	275.8327854154214
1.037921E7	277.1804670912951
1.0409603E7	277.2471527880491
1.0439996E7	271.93161046328396
1.0470389E7	273.2613674078991
1.0500782E7	279.53543177323667
1.0531175E7	278.9021981522778
1.0561568E7	274.867723156533
1.0591961E7	279.8722125573304
1.0622354E7	275.1992287917738
1.0652747E7	280.40015987210234
1.068314E7	278.8590001547748
1.0713533E7	275.37871407696053
1.0743926E7	275.87696793002914
1.0774319E7	278.0109937486527
1.0804712E7	279.13435931019427
1.0835105E7	276.84070018383824
1.0865498E7	274.91547163088984
1.0895891E7	275.7545469714667
1.0926284E7	273.3566909975669
1.0956677E7	278.347298956415
1.098707E7	276.3453099690767
1.1017463E7	276.33687087956264
1.1047856E7	278.41277173913045
1.1078249E7	278.6883259911894
1.1108642E7	273.06570260924235
1.1139035E7	276.20712209302326
1.1169428E7	279.1581421067183
1.1196832E7	278.05462878093493
1.12120285E7	296.58510177566046
1.1230214E7	272.06546588153793
1.1260607E7	274.9886113152094
1.1291E7	279.7027142857143
1.1321393E7	281.4513981358189
1.1351786E7	279.7041895895049
1.1382179E7	275.9712177121771
1.1412572E7	274.68392936637485
1.1442965E7	275.3426543031006
1.1473358E7	278.7073511166253
1.1503751E7	278.35285848172447
1.1534144E7	275.5938871728174
1.1564537E7	278.8283614353653
1.159493E7	276.87967706877816
1.1625323E7	274.79645586083564
1.1655716E7	267.74471042471043
1.1686109E7	275.91630353117955
1.1716502E7	275.6813081115742
1.1746895E7	274.920044864605
1.1777288E7	273.8416133792425
1.1807681E7	275.6794425087108
1.1838074E7	277.1626431445373
1.1868467E7	274.0189543516032
1.189886E7	275.6755400060846
1.1929253E7	278.8638955582233
1.1959646E7	279.8739837398374
1.1990039E7	271.4919416730622
1.2020432E7	273.5071663379356
1.2050825E7	272.49392528670376
1.2081218E7	274.7641322781232
1.2111611E7	279.70302947969026
1.21419565E7	281.19123099740455
