#Coverage	Number of genomic locations
0.0	8685.0
1.0	532.0
2.0	1288.0
3.0	2144.0
4.0	2969.0
5.0	4695.0
6.0	6829.0
7.0	11778.0
8.0	17473.0
9.0	27435.0
10.0	38619.0
11.0	52590.0
12.0	72850.0
13.0	92978.0
14.0	116747.0
15.0	143245.0
16.0	171962.0
17.0	200384.0
18.0	229407.0
19.0	264412.0
20.0	295998.0
21.0	323479.0
22.0	349197.0
23.0	367648.0
24.0	384810.0
25.0	399480.0
26.0	409876.0
27.0	415836.0
28.0	421290.0
29.0	417622.0
30.0	412115.0
31.0	403309.0
32.0	392513.0
33.0	382064.0
34.0	365886.0
35.0	350789.0
36.0	332969.0
37.0	318808.0
38.0	300817.0
39.0	282958.0
40.0	266280.0
41.0	245951.0
42.0	228136.0
43.0	212146.0
44.0	196467.0
45.0	180556.0
46.0	163871.0
47.0	150145.0
48.0	138573.0
49.0	127285.0
50.0	117808.0
51.0	105973.0
52.0	98261.0
53.0	90256.0
54.0	81618.0
55.0	74130.0
56.0	67538.0
57.0	61022.0
58.0	56002.0
59.0	50747.0
60.0	45979.0
61.0	41822.0
62.0	37638.0
63.0	34263.0
64.0	31001.0
65.0	28170.0
66.0	26127.0
67.0	23964.0
68.0	21613.0
69.0	20232.0
70.0	18448.0
71.0	16714.0
72.0	15032.0
73.0	14208.0
74.0	13238.0
75.0	12259.0
76.0	11524.0
77.0	10312.0
78.0	10051.0
79.0	9339.0
80.0	8607.0
81.0	8477.0
82.0	8007.0
83.0	7362.0
84.0	6690.0
85.0	6234.0
86.0	5634.0
87.0	5180.0
88.0	4811.0
89.0	4627.0
90.0	4463.0
91.0	4318.0
92.0	4021.0
93.0	3521.0
94.0	3476.0
95.0	3379.0
96.0	3121.0
97.0	3007.0
98.0	2725.0
99.0	2692.0
100.0	2574.0
101.0	2388.0
102.0	2237.0
103.0	2210.0
104.0	2090.0
105.0	1911.0
106.0	1830.0
107.0	1765.0
108.0	1764.0
109.0	1726.0
110.0	1598.0
111.0	1578.0
112.0	1453.0
