#Duplication rate	Coverage
1.0	1337999.0
2.0	414710.0
3.0	124213.0
4.0	54191.0
5.0	23110.0
6.0	12216.0
7.0	6575.0
8.0	4188.0
9.0	2575.0
10.0	1822.0
11.0	1305.0
12.0	957.0
13.0	690.0
14.0	582.0
15.0	476.0
16.0	382.0
17.0	329.0
18.0	303.0
19.0	250.0
20.0	201.0
21.0	185.0
22.0	199.0
23.0	160.0
24.0	149.0
25.0	123.0
26.0	126.0
27.0	97.0
28.0	97.0
29.0	96.0
30.0	86.0
31.0	85.0
32.0	62.0
33.0	68.0
34.0	76.0
35.0	46.0
36.0	46.0
37.0	46.0
38.0	43.0
39.0	40.0
40.0	31.0
41.0	40.0
42.0	17.0
43.0	35.0
44.0	28.0
45.0	29.0
46.0	29.0
47.0	31.0
48.0	21.0
49.0	23.0
50.0	532.0
