#Coverage (X)	Coverage
1.0	99.24058400416875
2.0	99.23499056724442
3.0	99.22427255502029
4.0	99.21569320985547
5.0	99.20305039727798
6.0	99.18587525566325
7.0	99.15891982507348
8.0	99.1267657884011
9.0	99.08780914535163
10.0	99.04669738395778
11.0	98.99942461630462
12.0	98.94119529279381
13.0	98.87587546541714
14.0	98.80027358487074
15.0	98.70950361948836
16.0	98.61297570433092
17.0	98.50779441322585
18.0	98.38828405282344
19.0	98.25891114702061
20.0	98.11902587005706
21.0	97.96624278559739
22.0	97.80345731981421
23.0	97.62352138934392
24.0	97.43225874910186
25.0	97.21844139702668
26.0	96.9923267093605
27.0	96.74658563860393
28.0	96.47611006074226
29.0	96.18174721695667
30.0	95.86636785649215
31.0	95.53515413414624
32.0	95.17120235450793
33.0	94.77606716401644
34.0	94.3483502034407
35.0	93.89431118675046
36.0	93.41056114922097
37.0	92.89142439750253
38.0	92.33617707505199
39.0	91.73424100556835
40.0	91.09732950402254
41.0	90.42074572852665
42.0	89.69712772901114
43.0	88.93408422482162
44.0	88.11095240190818
45.0	87.23786625187493
46.0	86.31266243073495
47.0	85.34124694982893
48.0	84.30205217442804
49.0	83.2336974962378
50.0	82.11109470552405
51.0	80.935321361459
