#Mapping quality	mapping quality
0.0	235448.0
1.0	138158.0
2.0	46006.0
3.0	31699.0
4.0	25824.0
5.0	22860.0
6.0	22080.0
7.0	21593.0
8.0	23243.0
9.0	29540.0
10.0	37890.0
11.0	27809.0
12.0	19442.0
13.0	17813.0
14.0	17454.0
15.0	18379.0
16.0	18383.0
17.0	18037.0
18.0	18363.0
19.0	18033.0
20.0	16090.0
21.0	15875.0
22.0	16853.0
23.0	14306.0
24.0	13634.0
25.0	13680.0
26.0	13576.0
27.0	13173.0
28.0	13649.0
29.0	13516.0
30.0	14001.0
31.0	15110.0
32.0	16315.0
33.0	18071.0
34.0	20102.0
35.0	26137.0
36.0	34634.0
37.0	58756.0
38.0	133388.0
39.0	368491.0
40.0	1050525.0
41.0	2477528.0
42.0	3946538.0
43.0	2899961.0
44.0	45133.0
