#Coverage (X)	Coverage
1.0	99.3418745663544
2.0	99.3306794668632
3.0	99.31523993582354
4.0	99.31039503236995
5.0	99.29927396366158
6.0	99.29368052673725
7.0	99.2834642787078
8.0	99.27549363109063
9.0	99.26679090128776
10.0	99.25613869420393
11.0	99.24497649728286
12.0	99.2329177053254
13.0	99.21528192772868
14.0	99.19015258978186
15.0	99.15999738424567
16.0	99.1166729250097
17.0	99.05248823630296
18.0	98.96779702075453
19.0	98.8554347437157
20.0	98.7048479058131
21.0	98.51523861972073
22.0	98.27441648320057
23.0	97.97432036656754
24.0	97.59721578451449
25.0	97.15016856397966
26.0	96.6243361392371
27.0	95.99761620879313
28.0	95.26359277146986
29.0	94.41156426632821
30.0	93.45766117838087
31.0	92.37604676442294
32.0	91.17803950858367
33.0	89.84350303793543
34.0	88.39460545911219
35.0	86.80592131103582
36.0	85.0882261854282
37.0	83.26446962496416
38.0	81.33862461498852
39.0	79.30689913429225
40.0	77.18282436484674
41.0	74.98708779762946
42.0	72.7325543375664
43.0	70.41284911169231
44.0	68.04806736472212
45.0	65.65759693611267
46.0	63.24546839070651
47.0	60.83158778344023
48.0	58.410608446665556
49.0	55.98513790906635
50.0	53.593491213574296
51.0	51.22461309662129
