#Position (bp)	insert size
15197.0	252.5202778983934
45590.0	258.56904154096077
75983.0	259.7679595738869
106376.0	258.92975543478263
136769.0	257.8255460726168
167162.0	257.3202114497807
197555.0	262.2453263707572
221485.0	254.47697317413554
236681.5	263.5020866773676
258341.0	257.1023521932613
288734.0	254.9184858044164
319127.0	256.638912732475
349520.0	258.00377417832993
379913.0	259.01699235344097
410306.0	257.7899601593625
440699.0	256.47087305189893
471092.0	250.83746104641628
501485.0	252.59775073178247
531878.0	254.7017719826145
562271.0	252.8502655473702
592664.0	255.0604073179151
623057.0	257.46699181327295
653450.0	254.5927061481362
683843.0	256.5450346420323
714236.0	258.07521453811205
744629.0	256.9959494491251
775022.0	255.67068345323742
805415.0	253.86884413606364
835808.0	256.07671091191173
866201.0	257.12594417077173
896594.0	259.2464913695757
926987.0	259.70093037214883
957380.0	252.5378162630226
987773.0	255.65285996055226
1018166.0	253.3593574132815
1038382.5	249.72644444444444
1053579.0	250.631585234739
1078952.0	256.0407621247113
1109345.0	258.860633829706
1139738.0	258.3768376347599
1170131.0	250.0970483696492
1200524.0	249.24189353216576
1230917.0	251.59503105590062
1261310.0	259.32796780684106
1291703.0	257.0986364215624
1322096.0	257.7381618717116
1348657.5	248.2894314534617
1363854.0	251.88333806414988
1382882.0	255.19062779822903
1413275.0	256.4421980300674
1443668.0	253.59674134419552
1474061.0	255.30492511965417
1504454.0	257.4428525947151
1534847.0	256.79618473895584
1565240.0	255.71435445068164
1595633.0	255.22808441558442
1626026.0	254.33970073225086
1656419.0	257.0158676569885
1686812.0	252.79242685025818
1717205.0	257.26389830508475
1747598.0	258.6270471045078
1777991.0	252.08054027013506
1808384.0	249.22760572760572
1838777.0	253.73966408268734
1869170.0	252.50837648492234
1899563.0	259.5594168944423
1929956.0	254.19764624437522
1960349.0	250.24014460320194
1990742.0	254.4701443569554
2021135.0	254.57249185920298
2051528.0	256.0424983902125
2081921.0	257.99108794350093
2112314.0	262.1175612129074
2142707.0	253.60013682230203
2173100.0	254.3278218322929
2203493.0	253.7978160723426
2233886.0	258.68216820172125
2264279.0	255.3004846526656
2294672.0	255.53904029426516
2325065.0	251.85348112227226
2355458.0	253.50640379910777
2385851.0	251.0334202804043
2416244.0	255.05042735042736
2446637.0	254.20688604509445
2477030.0	254.9419771992513
2507423.0	256.58347245409016
2537816.0	254.80711398544867
2568209.0	254.89798488664988
2598602.0	254.73261205564143
2628995.0	256.8263185019756
