#Coverage (X)	Coverage
1.0	99.80027317358861
2.0	99.77781716946592
3.0	99.71559840932525
4.0	99.68941618913384
5.0	99.64068748275186
6.0	99.60004458298255
7.0	99.5449574549204
8.0	99.49024048077236
9.0	99.42242005806482
10.0	99.35390045574172
11.0	99.26653590636916
12.0	99.16831350884935
13.0	99.05495592906371
14.0	98.93230337321262
15.0	98.79961553346787
16.0	98.64759743376405
17.0	98.4876251377281
18.0	98.31958348636456
19.0	98.13310817007832
20.0	97.94473273036631
21.0	97.73235486573489
22.0	97.50941527608752
23.0	97.26690688284752
24.0	96.99583083308073
25.0	96.71219422716182
26.0	96.41633431643471
27.0	96.09324752891416
28.0	95.7400219871425
29.0	95.37109369377002
30.0	94.97727460608426
31.0	94.55749539055556
32.0	94.11632950443382
33.0	93.65209069099922
34.0	93.15807505158506
35.0	92.62577727180937
36.0	92.05552637737357
37.0	91.45421545672264
38.0	90.81625929857479
39.0	90.15066498150671
40.0	89.43973092278137
41.0	88.68997183128714
42.0	87.88673783766777
43.0	87.03805716903818
44.0	86.15366076051824
45.0	85.2180103733578
46.0	84.23286629505955
47.0	83.19253638098873
48.0	82.10509821211546
49.0	80.97533088675306
50.0	79.80064332750273
51.0	78.57767947220988
