#Position (bp)	insert size
15197.0	325.75474254742545
45590.0	331.0700112317484
75983.0	331.6545220745821
106376.0	333.10231425091354
136769.0	324.9253344842469
167162.0	327.32523108524475
197555.0	325.65823211875846
221485.0	322.2491103202847
236681.5	334.0812567713976
258341.0	328.9011562849683
288734.0	333.7190388170055
319127.0	328.3658994833255
349520.0	329.98485565546616
379913.0	330.36713468538744
410306.0	331.19642857142856
440699.0	329.9041404140414
471092.0	326.98220140515224
501485.0	327.0147255689424
531878.0	323.993471164309
562271.0	327.9099236641221
592664.0	331.3008474576271
623057.0	336.87784241142253
653450.0	325.5333667837431
683843.0	332.0952863659402
714236.0	334.04202972834446
744629.0	332.17341591233924
775022.0	331.4572405929304
805415.0	330.9075630252101
835808.0	331.25140809011776
866201.0	329.25231481481484
896594.0	333.1114058355438
926987.0	332.3099152964624
957380.0	324.6186950485886
987773.0	332.34520054078416
1018166.0	323.54985754985756
1038382.5	324.16682464454976
1053579.0	330.58290665616386
1078952.0	327.24621376027693
1109345.0	330.45207733443027
1139738.0	327.4114537444934
1170131.0	322.0648111332008
1200524.0	326.65153480328576
1230917.0	330.9463652482269
1261310.0	326.24913194444446
1291703.0	332.88940520446096
1322096.0	330.0524193548387
1348657.5	321.4841810172207
1363854.0	320.6347237880496
1382882.0	329.0621761658031
1413275.0	329.2015267175573
1443668.0	332.2272952853598
1474061.0	325.319030792529
1504454.0	327.317748524739
1534847.0	333.8997455470738
1565240.0	330.9974645030426
1595633.0	330.73757170172087
1626026.0	325.82589285714283
1656419.0	333.80816110227875
1686812.0	332.0921866216976
1717205.0	334.96140749148697
1747598.0	329.98929577464787
1777991.0	328.2766717713119
1808384.0	325.78386809269165
1838777.0	326.1528599605523
1869170.0	326.99954751131224
1899563.0	331.4766562916852
1929956.0	326.843347639485
1960349.0	325.7803784860558
1990742.0	327.0796549974632
2021135.0	330.4745208041141
2051528.0	328.91143392689787
2081921.0	335.237525987526
2112314.0	341.81158690176323
2142707.0	331.8840811965812
2173100.0	332.56880733944956
2203493.0	325.7096081588835
2233886.0	335.55281385281387
2264279.0	326.2404624277457
2294672.0	331.7384054194893
2325065.0	325.2719518314099
2355458.0	329.83046306926906
2385851.0	331.82969215491556
2416244.0	329.91922455573507
2446637.0	333.3565217391304
2477030.0	332.561975308642
2507423.0	326.62838569880824
2537816.0	328.65482954545456
2568209.0	333.9939236111111
2598602.0	325.57947368421054
2628995.0	327.53753753753756
2659388.0	337.7691951896392
2689781.0	328.6813495782568
2720174.0	329.6812144212524
2750567.0	332.85749875435977
2780960.0	328.7009900990099
2811353.0	331.5874263261297
2841746.0	327.21369596891697
2872139.0	326.16947935368046
2889645.5	341.2003367003367
2904842.0	330.4643765903308
2932925.0	331.6952010376135
2963318.0	331.6869819600195
2993711.0	333.80876494023903
3024104.0	330.9731543624161
3054497.0	331.45043731778424
3084890.0	324.35199652777777
3115283.0	327.24152542372883
3145676.0	331.80182232346243
3176069.0	328.8761579717211
3206462.0	326.2303556658395
3236855.0	325.35823429541597
3267248.0	332.50867579908675
3297641.0	335.9083241657499
3322340.5	327.3675249169435
3337537.0	0.0
3358427.0	260.0
3388820.0	195.0
3410819.5	0.0
3426016.0	328.7046436285097
3449606.0	330.37576499388007
3479999.0	326.92908762420956
3510392.0	333.33270588235297
3540785.0	323.538496791934
3571178.0	322.35263157894735
3601571.0	333.7815856777494
3631964.0	323.53637350705753
3662357.0	330.5908248378128
3692750.0	329.75188726723707
3723143.0	326.4412037037037
3753536.0	331.2132904608789
3783929.0	333.00142517814726
3814322.0	326.66275797373356
3844715.0	328.1616982836495
3875108.0	332.7289899768697
3905501.0	329.70576131687244
3935894.0	338.61309523809524
3966287.0	331.64913722267875
3987990.0	323.8555183946488
4003186.5	328.194612424409
4027073.0	332.8044009779951
4057466.0	327.1121140142518
4087859.0	332.9918533604888
4118252.0	325.90837151187003
4148645.0	323.9040983606557
4179038.0	329.9134181370538
4209431.0	328.06617647058823
4239824.0	333.73654497553633
4259839.0	323.0203921568627
4275035.5	321.22809667673715
4300610.0	330.1512261580381
4331003.0	327.1014018691589
4361396.0	331.75393154486585
4391789.0	331.0187129164765
4422182.0	329.78763304612266
4452575.0	334.15633280339165
4482968.0	331.65129835718074
4513361.0	332.89782498735457
4543754.0	329.37880918893575
4574147.0	331.8512277323062
4604540.0	328.59824198552224
4634933.0	326.9799297541395
4665326.0	328.0857544517338
4695719.0	325.14935064935065
4726112.0	330.77376425855516
4756505.0	331.52527940393827
4786898.0	328.61758143685853
4817291.0	328.33293745051463
4847684.0	322.19625
4878077.0	331.0084388185654
4908470.0	333.6110562685094
4938863.0	332.22074468085106
4969256.0	332.17151162790697
4999649.0	328.69818351187706
5030042.0	328.1509161041466
5060435.0	327.79249011857706
5090828.0	326.592132505176
5121221.0	334.7244582043344
5151614.0	325.94368266405485
5182007.0	321.59238095238095
5212400.0	329.9765739385066
5242793.0	328.99775280898876
5273186.0	330.13123236124176
5303579.0	334.3502935420744
5333972.0	324.6496584973885
5352383.0	327.51256281407035
5367579.5	325.94215640906987
5394758.0	335.35330948121646
5425151.0	335.0851063829787
5455544.0	329.8109756097561
5485937.0	327.8674089068826
5516330.0	334.4975514201763
5546723.0	332.03958436417616
5577116.0	325.37236084452974
5607509.0	330.6470284237726
5637902.0	328.52565502183404
5668295.0	333.0678553739475
5698688.0	335.6811311555339
5729081.0	321.68795289855075
5759474.0	328.8592486923443
5789867.0	327.4417520969245
5820260.0	325.4763481551561
5850653.0	335.5507060333761
5881046.0	331.00918163672657
5907241.5	322.02186234817816
5922438.0	330.04676616915424
5941832.0	334.0074832611264
5972225.0	332.1512797074954
6002618.0	332.2049718574109
6033011.0	334.030303030303
6063404.0	325.0734406438632
6093797.0	335.61241098677516
6124190.0	323.29548627268497
6154583.0	333.1354378818737
6184976.0	332.24327176781003
6215369.0	331.37056737588654
6245762.0	327.10591603053433
6276155.0	331.17219198416626
6306548.0	327.49226305609284
6336941.0	326.0280999107939
6367334.0	326.1844003606853
6397727.0	331.0938822624086
6428120.0	332.7066473988439
6458513.0	325.1853388658368
6488906.0	328.3527931555108
6519299.0	331.93197278911566
6549692.0	330.3454469507101
6580085.0	325.3073308270677
6610478.0	334.8605395518976
6640871.0	335.4535190063982
6660029.5	327.5128755364807
6675226.0	324.84372331340734
6701657.0	329.3984238178634
6732050.0	334.6032504780115
6762443.0	333.61413612565445
6792836.0	332.39225512528475
6823229.0	326.81229156741307
6853622.0	329.63886113886116
6884015.0	332.16814159292034
6914408.0	331.458751393534
6944801.0	329.78855079938114
6975194.0	329.47050561797755
7005587.0	333.75726243229934
7035980.0	330.64854111405833
7066373.0	331.23112986404124
7096766.0	331.59303534303535
7127159.0	329.8763600395648
7157552.0	318.2118959107807
7187945.0	323.69437652811735
7218338.0	332.0652755484216
7248731.0	327.57634112792294
7279124.0	335.220297029703
7309517.0	336.6761133603239
7327760.5	315.5006570302234
7342957.0	322.6273092369478
7370303.0	330.3015801354402
7400696.0	328.5085959885387
7431089.0	322.725645076356
7461482.0	329.8151898734177
7491875.0	328.0391036906854
7522268.0	328.5695550351288
7552661.0	327.9227703039362
7583054.0	325.60771861260383
7613447.0	327.86622245002565
7643840.0	335.6570529627688
7674233.0	331.85679254536535
7704626.0	330.12769153730596
7735019.0	335.9826388888889
7765412.0	325.1061224489796
7795805.0	326.8467185292255
7826198.0	318.6875498802873
7856591.0	325.5074946466809
7886984.0	328.5395044413277
7917377.0	330.9706678700361
7947770.0	328.07350764676863
7978163.0	331.68728373702425
8008556.0	330.02903058579574
8038949.0	332.00146412884334
8069342.0	327.35070028011205
8099735.0	329.34484619535885
8130128.0	332.8505545826036
8160521.0	327.0521458237194
8190914.0	328.6528629856851
8221307.0	333.6290234588107
8251700.0	335.1031031031031
8282093.0	333.1162471395881
8312486.0	332.8708178438662
8342879.0	325.42290748898677
8373272.0	329.6592558983666
8398726.5	328.3931185944363
8413923.0	325.2471615720524
8434058.0	335.48995176848877
8464451.0	326.1531664212077
8494844.0	330.45245098039214
8525237.0	331.0198339483395
8555630.0	325.52272727272725
8586023.0	327.21398834304745
8616416.0	333.98434004474274
8646809.0	329.5724907063197
8677202.0	332.29513564078576
8707595.0	330.8051282051282
8737988.0	330.9321394910462
8768381.0	329.8615249780894
8798774.0	332.0375844594595
8829167.0	327.85149023638235
8859560.0	331.1533298915849
8889953.0	323.6950074147306
8920346.0	329.48056722689074
8950739.0	332.87919463087246
8981132.0	332.11699566682717
9011525.0	329.257762444554
9041918.0	330.98248407643314
9072311.0	331.8540218470705
9102704.0	338.2657894736842
9133097.0	327.20777118186726
9163490.0	329.7593052109181
9193883.0	333.6621067031464
9224276.0	333.8868010999083
9254669.0	333.0302087960906
9285062.0	336.15581395348835
9315455.0	334.8353975229724
9332033.5	296.3628318584071
9347230.0	323.6456747404844
9376241.0	331.93964041095893
9406634.0	336.24133083411436
9437027.0	328.16842961757527
9467420.0	332.94675803900896
9497813.0	330.94688457609806
9528206.0	332.1966046002191
9558599.0	332.79966611018364
9588992.0	329.7584925690021
9619385.0	338.009789525208
9649778.0	331.31619937694705
9680171.0	329.59452736318406
9710564.0	330.8671484157866
9740957.0	328.78398314014754
9771350.0	330.12139011257955
9801743.0	327.98268625393496
9832136.0	332.494769874477
9862529.0	330.7636849132176
9892922.0	327.42616033755274
9923315.0	332.06211498973306
9953708.0	325.06063477025106
9984101.0	332.8201861832435
1.0014494E7	327.25990566037734
1.0044887E7	326.8077660594439
1.007528E7	323.0047475183427
1.01041125E7	325.585281717133
1.0119309E7	314.0542264752791
1.0136066E7	329.221076377699
1.0166459E7	326.6123310810811
1.0196852E7	333.6760054225034
1.0227245E7	324.4485510289794
1.0257638E7	331.75494672754945
1.0288031E7	325.5791524598149
1.0318424E7	328.2321100917431
1.0348817E7	321.9067127344521
1.037921E7	327.7226932668329
1.0409603E7	330.395673726904
1.0439996E7	325.0718984962406
1.0470389E7	327.36730470770823
1.0500782E7	329.66330858960765
1.0531175E7	329.16535044422506
1.0561568E7	330.9479518072289
1.0591961E7	330.79258098223613
1.0622354E7	330.6230179028133
1.0652747E7	331.84656084656086
1.068314E7	333.95767465578786
1.0713533E7	329.9096069868996
1.0743926E7	327.6719197707736
1.0774319E7	332.97626752966556
1.0804712E7	324.831693989071
1.0835105E7	327.92582290217894
1.0865498E7	330.2250614250614
1.0895891E7	333.34878819810325
1.0926284E7	327.2991886409736
1.0956677E7	327.58772819472614
1.098707E7	327.74335044330377
1.1017463E7	329.47387669801464
1.1047856E7	333.64243719935865
1.1078249E7	330.19682835820896
1.1108642E7	327.23497536945814
1.1139035E7	328.94697957409824
1.1169428E7	339.38754008245536
1.1196832E7	328.01500577145055
1.12120285E7	334.3264
1.1230214E7	315.6051040967092
1.1260607E7	322.9981561155501
1.1291E7	334.6335520149953
1.1321393E7	335.23809523809524
