#Read position (bp)	Clipping profile
0.0	4.173553949487482
1.0	2.699395046626013
2.0	2.0482375782865225
3.0	1.7932874159154752
4.0	1.6281545584531272
5.0	1.478279127786167
6.0	1.3812109466999427
7.0	1.2975110063082622
8.0	1.2280789190400991
9.0	1.1688664289650732
10.0	1.1155014196783741
11.0	1.0702509145010146
12.0	1.0278791690963698
13.0	0.9890698889104595
14.0	0.9535351979660123
15.0	0.9195118559022402
16.0	0.8867299789904514
17.0	0.8568628463485362
18.0	0.8287229695702497
19.0	0.8017885734467876
20.0	0.7753759525321301
21.0	0.751716145650131
22.0	0.7274985790621685
23.0	0.7045404698747686
24.0	0.6830397328223055
25.0	0.6616109647641603
26.0	0.6410098401406706
27.0	0.6206246225001345
28.0	0.6005992498311877
29.0	0.581689396574168
30.0	0.5644168379378797
31.0	0.5477560157532931
32.0	0.5307893253428558
33.0	0.5154419373045704
34.0	0.4997167120461163
35.0	0.4851969674424864
36.0	0.47105506005902537
37.0	0.45792071859601446
38.0	0.4449123228730598
39.0	0.43292948531913483
40.0	0.4204248725564052
41.0	0.40872991097975175
42.0	0.3978805850863331
43.0	0.3869772824471761
44.0	0.37821505738897565
45.0	0.3691829486020832
46.0	0.360078870820873
47.0	0.35056097132233494
48.0	0.3415828392811809
49.0	0.33384617239201003
50.0	0.3264333659772697
51.0	0.3191285130540061
52.0	0.31292118729408996
53.0	0.3072356367429784
54.0	0.30081240400010867
55.0	0.2950548844546792
56.0	0.28909945017487565
57.0	0.28319799264081047
58.0	0.2781241785414008
59.0	0.27366210089369297
60.0	0.268732224782919
61.0	0.26425215488663173
62.0	0.2606537051707383
63.0	0.2576310074093879
64.0	0.25471626313951423
65.0	0.251585611886687
66.0	0.248311022645224
67.0	0.24658376678159516
68.0	0.24377697600319828
69.0	0.24163589842224176
70.0	0.24025049528162276
71.0	0.23922493711259316
72.0	0.237947487463451
73.0	0.23729976651459017
74.0	0.2373897277574875
75.0	0.2375696502432822
76.0	0.23729976651459017
77.0	0.23834331693219926
78.0	0.2398006890671361
79.0	0.240952192976222
80.0	0.24330917754013218
81.0	0.24525234038671456
82.0	0.24778924743641945
83.0	0.24993032501737603
84.0	0.2530249917730443
85.0	0.2564615112517225
86.0	0.2590523950471658
87.0	0.2623089920400493
88.0	0.2664112247161678
89.0	0.27072936437523987
90.0	0.27490356604567623
91.0	0.27949158943344027
92.0	0.28521312448171077
93.0	0.2908806827842429
94.0	0.29636831860098034
95.0	0.3026476133552143
96.0	0.3089988771037661
97.0	0.31490033463783135
98.0	0.3221152263181976
99.0	0.32898826527555397
100.0	0.3364010716902944
101.0	0.34395781609367054
102.0	0.35257610316323523
103.0	0.36193207242455805
104.0	0.37107213470292727
105.0	0.37940254579522054
106.0	0.3887765073051228
107.0	0.39842035254371705
108.0	0.40984543039167864
109.0	0.4212525159910607
110.0	0.43267759383902227
111.0	0.4447503926358446
112.0	0.45766882711590195
113.0	0.4708031685789128
114.0	0.483793572053288
115.0	0.49845725464555357
116.0	0.5140025574182131
117.0	0.5292419919650216
118.0	0.5446613489976249
119.0	0.5622217836111846
120.0	0.5780009856153772
121.0	0.597180722601089
122.0	0.6168462502984464
123.0	0.6357920880526251
124.0	0.6567170731505453
125.0	0.6774081590169323
126.0	0.6984950743520677
127.0	0.7205715633590737
128.0	0.7430258895862485
129.0	0.7669375879483601
130.0	0.7921087437110345
131.0	0.8183594343884767
132.0	0.8461394661951739
133.0	0.8751069864081156
134.0	0.9061436152076963
135.0	0.9380258796905118
136.0	0.9721031985000221
137.0	1.008807385602135
138.0	1.047490720047989
139.0	1.0877213878716772
140.0	1.1337455597379535
141.0	1.1887118791482254
142.0	1.2473126327715494
143.0	1.3234378365112742
144.0	1.4046908310961472
145.0	1.511636756652499
146.0	1.670562288354931
147.0	1.896688868501672
148.0	2.5697069188652146
149.0	4.1084579941269705
