#Duplication rate	Coverage
1.0	1682619.0
2.0	859774.0
3.0	317428.0
4.0	188157.0
5.0	92589.0
6.0	57477.0
7.0	33221.0
8.0	21475.0
9.0	13483.0
10.0	9462.0
11.0	6334.0
12.0	4558.0
13.0	3268.0
14.0	2378.0
15.0	1811.0
16.0	1390.0
17.0	1056.0
18.0	831.0
19.0	698.0
20.0	559.0
21.0	463.0
22.0	430.0
23.0	392.0
24.0	326.0
25.0	272.0
26.0	234.0
27.0	229.0
28.0	179.0
29.0	185.0
30.0	161.0
31.0	152.0
32.0	117.0
33.0	143.0
34.0	133.0
35.0	129.0
36.0	121.0
37.0	98.0
38.0	110.0
39.0	85.0
40.0	98.0
41.0	102.0
42.0	77.0
43.0	87.0
44.0	70.0
45.0	74.0
46.0	71.0
47.0	64.0
48.0	69.0
49.0	54.0
50.0	2208.0
