#Read position (bp)	Clipping profile
0.0	1.7891837596034008
1.0	1.4359230409860384
2.0	1.27482234610242
3.0	1.206867634339141
4.0	1.16088099133642
5.0	1.1174866261666307
6.0	1.0867701912097505
7.0	1.058961496467587
8.0	1.0349886414111904
9.0	1.013301745643093
10.0	0.9923737883587112
11.0	0.9730574323725806
12.0	0.9546074549567152
13.0	0.9365826659684738
14.0	0.9189556338963965
15.0	0.901916093361412
16.0	0.8849451316050765
17.0	0.8685936648158702
18.0	0.8525736621234674
19.0	0.8367045327440923
20.0	0.8211851551358271
21.0	0.8057983631662831
22.0	0.7903955694817212
23.0	0.7754408238176659
24.0	0.7604380730085564
25.0	0.7458787983013768
26.0	0.7311823660368993
27.0	0.7167648208055944
28.0	0.7023541334521545
29.0	0.6880806036560124
30.0	0.6746848822265773
31.0	0.6613966008836925
32.0	0.6483712048589619
33.0	0.6355789766816379
34.0	0.6226175875169798
35.0	0.6104471402660733
36.0	0.5984664276360957
37.0	0.5866708777084703
38.0	0.575570259404488
39.0	0.5644010623218566
40.0	0.5541233893616622
41.0	0.5439851599180539
42.0	0.5345052867494758
43.0	0.5246893775655178
44.0	0.5150197697760109
45.0	0.5061045285516429
46.0	0.49733787468101437
47.0	0.48884782188427006
48.0	0.48066408763215784
49.0	0.4723134783519998
50.0	0.46435605406942926
51.0	0.45667980277931963
52.0	0.4498036372401147
53.0	0.4429869066424057
54.0	0.4365519312458426
55.0	0.43034326581882115
56.0	0.4238854308293751
57.0	0.4179602243541028
58.0	0.4124716361028957
59.0	0.40697847593311204
60.0	0.40188307267949247
61.0	0.39709170201121674
62.0	0.3930684136638096
63.0	0.38912741985078125
64.0	0.3853921623736999
65.0	0.382027230301323
66.0	0.3790211938372092
67.0	0.3759237190015634
68.0	0.3732971517793073
69.0	0.3712740778091622
70.0	0.36938587543702683
71.0	0.36803258753835355
72.0	0.3668941798127804
73.0	0.36613981324764155
74.0	0.3659386488302712
75.0	0.3657740597615136
76.0	0.36612152557333516
77.0	0.3667295907440228
78.0	0.3680851646019844
79.0	0.3691069884038543
80.0	0.370906038363746
81.0	0.37318971169275716
82.0	0.37572941246205793
83.0	0.37876745235620796
84.0	0.3820409460570528
85.0	0.38533958531006895
86.0	0.38873880677177036
87.0	0.3927620951191774
88.0	0.39692939890174744
89.0	0.40157218221628366
90.0	0.40676130980072356
91.0	0.4119207199144155
92.0	0.41747102906640665
93.0	0.42331622696658844
94.0	0.42976034620030473
95.0	0.4362136092711742
96.0	0.44266001446417885
97.0	0.4494744591025996
98.0	0.456629511674977
99.0	0.46417774924494193
100.0	0.47196372658089
101.0	0.4802891903088768
102.0	0.488244328632159
103.0	0.49669094820242565
104.0	0.5055353246888563
105.0	0.5145648638776393
106.0	0.5240698825983886
107.0	0.533552041726255
108.0	0.5432490810272214
109.0	0.5533758806743881
110.0	0.5635186820365731
111.0	0.5746261582184202
112.0	0.5856513398658887
113.0	0.5973920267705949
114.0	0.6094253164642034
115.0	0.6214540342392353
116.0	0.634198257271505
117.0	0.6470887816982258
118.0	0.6600981760079383
119.0	0.6730504213354432
120.0	0.6862358345103547
121.0	0.7002921981741083
122.0	0.7146571663417823
123.0	0.7292118691303852
124.0	0.7436019828502305
125.0	0.7577520708448044
126.0	0.7724027839235158
127.0	0.7869254832820826
128.0	0.8020699635670666
129.0	0.8171572948698432
130.0	0.8324800799793148
131.0	0.8480611784883642
132.0	0.8637199996132158
133.0	0.8800600366059804
134.0	0.8964755102552591
135.0	0.9129161294567092
136.0	0.9299602419102702
137.0	0.9473175307863282
138.0	0.9651800166651004
139.0	0.9836299940809655
140.0	1.0030103569271687
141.0	1.0238011566542526
142.0	1.0457852271298287
143.0	1.0720600431895433
144.0	1.0992583868017305
145.0	1.1316801473876823
146.0	1.1774313365837084
147.0	1.2382790009196643
148.0	1.4062032842788568
149.0	1.7748416510286098
