#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	5.194166604625232E-6
11.0	1.7313888682084107E-6
12.0	5.194166604625232E-6
13.0	8.656944341042053E-6
14.0	2.943361075954298E-5
15.0	2.597083302312616E-5
16.0	4.501611057341868E-5
17.0	6.232999925550278E-5
18.0	8.830083227862894E-5
19.0	1.55824998138757E-4
20.0	2.4758860815380274E-4
21.0	3.7571138440122513E-4
22.0	6.302255480278616E-4
23.0	9.938172103516277E-4
24.0	0.0016326997027205313
25.0	0.0028671799657531286
26.0	0.0037190232889116664
27.0	0.0061775954817676094
28.0	0.009250810722837538
29.0	0.012872876235129532
30.0	0.017699988399694583
31.0	0.023938182491849487
32.0	0.03047244408046803
33.0	0.03863594259407069
34.0	0.04631984639117962
35.0	0.054419283516658555
36.0	0.06255334841950168
37.0	0.06782023335659165
38.0	0.07136092359207785
39.0	0.07165352831080508
40.0	0.06950833750309485
41.0	0.06658921587129547
42.0	0.06117516288040778
43.0	0.0536661293589879
44.0	0.04623847111437381
45.0	0.03882985814731003
46.0	0.031412588235905196
47.0	0.025705930526290274
48.0	0.01992309170647418
49.0	0.015677726201627162
50.0	0.012836517068897157
51.0	0.011392538752811343
52.0	0.007096962970786276
53.0	0.0055317874339258725
54.0	0.003613408567950953
55.0	0.002221371917911391
56.0	0.001480337482318191
57.0	0.0010093997101655035
58.0	6.215686036868194E-4
59.0	4.4323555026135313E-4
60.0	3.566661068509326E-4
61.0	2.112294419214261E-4
62.0	1.3851110945667285E-4
63.0	8.137527680579531E-5
64.0	5.1941666046252313E-5
65.0	2.250805528670934E-5
66.0	3.116499962775139E-5
67.0	2.0776666418500928E-5
68.0	1.3851110945667285E-5
69.0	5.194166604625232E-6
70.0	1.7313888682084107E-6
71.0	0.0
72.0	1.7313888682084107E-6
73.0	3.4627777364168213E-6
74.0	1.7313888682084107E-6
75.0	5.194166604625232E-6
76.0	0.0
77.0	0.0
78.0	1.7313888682084107E-6
79.0	0.0
80.0	1.7313888682084107E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.925555472833643E-6
