#Position (bp)	insert size
15197.0	261.06193830459074
45590.0	268.74344978165936
75983.0	269.4183892839425
106376.0	270.42265932336744
136769.0	266.49710577091736
167162.0	265.65207995678014
197555.0	271.74050915587316
221485.0	260.18132896583995
236681.5	269.95564700502973
258341.0	265.93518256439285
288734.0	265.5430912242004
319127.0	268.2412335629305
349520.0	267.8138923267327
379913.0	266.605766062603
410306.0	265.61382878645344
440699.0	267.40725868725866
471092.0	260.73366750208857
501485.0	261.61410918191774
531878.0	264.56021034180543
562271.0	263.33911997249913
592664.0	265.8720787207872
623057.0	266.0302923564635
653450.0	265.22094171880144
683843.0	264.0701813866757
714236.0	266.1939444911691
744629.0	268.63844241922124
775022.0	266.2166577872492
805415.0	260.6786991869919
835808.0	265.52955584585237
866201.0	263.05085543870666
896594.0	268.1494215414698
926987.0	268.26511412708203
957380.0	261.27487352445195
987773.0	266.9109756097561
1018166.0	264.40507206208423
1038382.5	255.92138688637144
1053579.0	254.75272479564032
1078952.0	266.1292932628798
1109345.0	269.69127516778525
1139738.0	267.18380855397146
1170131.0	257.89155874551415
1200524.0	260.7862670838136
1230917.0	263.73869900771774
1261310.0	269.01328747850556
1291703.0	266.32295415427944
1322096.0	263.680056980057
1348657.5	255.98834498834498
1363854.0	262.0325950689511
1382882.0	265.577614379085
1413275.0	267.3821540491506
1443668.0	264.6032625423207
1474061.0	267.35081547809403
1504454.0	264.9763600545537
1534847.0	264.34597228567077
1565240.0	266.23091572766225
1595633.0	264.96380162653486
1626026.0	264.29460513487163
1656419.0	266.87465229485395
1686812.0	261.412250137539
1717205.0	267.4854625550661
1747598.0	270.4614288259398
1777991.0	263.7952597075139
1808384.0	258.6893554206987
1838777.0	264.3880347593583
1869170.0	261.8965724594107
1899563.0	268.6370198855898
1929956.0	264.2634943181818
1960349.0	261.2680272108843
1990742.0	260.65039823758684
2021135.0	261.8874151758174
2051528.0	266.79354736172917
2081921.0	268.5323619112165
2112314.0	273.38359310910585
2142707.0	265.4233498935415
2173100.0	263.0334687246141
2203493.0	263.893143056039
2233886.0	267.5474157303371
2264279.0	268.15559502664297
2294672.0	267.53624935422766
2325065.0	262.45630577538304
2355458.0	260.3595411303861
2385851.0	265.01911886949296
2416244.0	267.53300647872527
2446637.0	263.40220344099004
2477030.0	264.29622199933135
2507423.0	263.59598494353827
2537816.0	262.75147269543066
2568209.0	264.4296790200031
2598602.0	263.8906303823631
2628995.0	266.242449249051
2659388.0	268.4256705561449
2689781.0	263.3166354556804
2720174.0	261.30848045397227
2750567.0	268.81990893389855
2780960.0	267.604020421187
2811353.0	265.93331206126356
2841746.0	265.5501138952164
2872139.0	259.0472268691288
