#Position (bp)	insert size
15197.0	338.9108611892117
45590.0	335.6227871084884
75983.0	336.41041910168644
106376.0	337.01888943168865
136769.0	340.2467071935157
167162.0	339.6806987399771
197555.0	342.1370635138851
221485.0	334.72990155865466
236681.5	337.51763907734056
258341.0	336.1520415068802
288734.0	338.1877922077922
319127.0	340.7808395570435
349520.0	341.9296778952545
379913.0	341.1513191929643
410306.0	340.49623512266214
440699.0	336.03876337693225
471092.0	336.1199235547062
501485.0	336.5850389863548
531878.0	336.6526664824537
562271.0	340.168458781362
592664.0	340.1538909938793
623057.0	343.8847467273762
653450.0	335.33466135458167
683843.0	337.6822021555491
714236.0	339.18579848442323
744629.0	340.60057172557174
775022.0	339.7422360248447
805415.0	338.81968031968034
835808.0	340.9548192771084
866201.0	337.957400194742
896594.0	339.92934926958833
926987.0	339.46065989847716
957380.0	338.7806996381182
987773.0	336.79925742574255
1018166.0	338.08527305282007
1038382.5	334.05271565495207
1053579.0	334.0110213078619
1078952.0	340.03325344517674
1109345.0	336.29507936507935
1139738.0	336.26095338240447
1170131.0	335.07843931416227
1200524.0	337.59341794569065
1230917.0	339.2489691454571
1261310.0	338.15501147666413
1291703.0	338.6785028790787
1322096.0	338.59592154825305
1348657.5	336.0559610705596
1363854.0	335.45239749826266
1382882.0	338.05875356803045
1413275.0	340.5528641571195
1443668.0	340.2609763586122
1474061.0	337.6876729173071
1504454.0	337.83984265243043
1534847.0	340.31634499396864
1565240.0	338.3773183338401
1595633.0	340.0942507068803
1626026.0	339.1855670103093
1656419.0	336.5240174672489
1686812.0	335.4152027027027
1717205.0	338.69076869076866
1747598.0	341.6402592725963
1777991.0	337.3060407569141
1808384.0	333.35714285714283
1838777.0	341.13876071193147
1869170.0	341.076448103499
1899563.0	337.30562130177515
1929956.0	338.62481910274965
1960349.0	340.19365954514126
1990742.0	333.32233934036043
2021135.0	337.6285103785104
2051528.0	335.534786790638
2081921.0	340.0921513665032
2112314.0	347.86507145230973
2142707.0	341.79316420014095
2173100.0	340.3367080339647
2203493.0	338.70856302829844
2233886.0	335.78328341954807
2264279.0	342.09897070467144
2294672.0	339.6006412540078
2325065.0	333.1933962264151
2355458.0	336.7438934122872
2385851.0	338.86044928522807
2416244.0	337.5160278745645
2446637.0	337.98344092057255
2477030.0	341.2726683937824
2507423.0	336.63092355586303
2537816.0	336.1067593177511
2568209.0	338.43945102260494
2598602.0	336.2777581952767
2628995.0	341.1430894308943
2659388.0	344.94451294697905
2689781.0	340.2068861371187
2720174.0	338.1320697954272
2750567.0	338.45111896348646
2780960.0	343.7761413843888
2811353.0	337.61112809538366
2841746.0	341.47330173775674
2872139.0	338.95636623748214
2889645.5	342.1230388109001
2904842.0	340.42088607594934
2932925.0	339.2629367958755
2963318.0	343.29582463465556
2993711.0	337.9029050497173
3024104.0	338.7571853320119
3054497.0	338.3254460822343
3084890.0	337.8738644304682
3115283.0	337.4002219345293
3145676.0	337.93209529169013
3176069.0	339.9195756991321
3206462.0	336.54714285714283
3236855.0	338.7886458145001
3267248.0	335.95791710945804
3297641.0	344.38719943422916
3322340.5	333.7000759301443
3337537.0	224.0680142687277
3358427.0	283.4223152111416
3388820.0	249.16065275339704
3410819.5	266.2689906960311
3426016.0	336.3939393939394
3449606.0	338.14455166867714
3479999.0	342.6046562705908
3510392.0	342.04410796576695
3540785.0	335.90241814680076
3571178.0	337.1798793623438
3601571.0	338.0139829582696
3631964.0	340.07985057202893
3662357.0	338.2563563773902
3692750.0	337.79916040654
3723143.0	337.5651448822181
3753536.0	341.94776648546446
3783929.0	337.53218514531756
3814322.0	340.50772442588726
3844715.0	336.6608055612349
3875108.0	338.1022222222222
3905501.0	337.72400079538676
3935894.0	340.1174291938998
3966287.0	338.2893106893107
3987990.0	331.0100911458333
4003186.5	338.94410844629823
4027073.0	339.43783192752267
4057466.0	338.16086594504577
4087859.0	338.4482866531059
4118252.0	337.1573387986757
4148645.0	339.5862785862786
4179038.0	340.8467332569183
4209431.0	338.3599857853589
4239824.0	340.0309121153313
4259839.0	338.36473715298285
4275035.5	333.9519909630048
4300610.0	345.4006523511824
4331003.0	339.58715596330273
4361396.0	341.50099857346646
4391789.0	344.2512077294686
4422182.0	340.3421200224341
4452575.0	341.8119266055046
4482968.0	337.88613433266073
4513361.0	344.88526037069727
4543754.0	335.16354875283446
4574147.0	335.90192142242614
4604540.0	339.33531333531334
4634933.0	340.38904363974
4665326.0	339.67861519607845
4695719.0	338.20184331797236
4726112.0	338.30789049919485
4756505.0	334.2461832061069
4786898.0	340.77103718199606
4817291.0	337.5860889395667
4847684.0	337.72558139534885
4878077.0	336.1594998475145
4908470.0	336.1558073654391
4938863.0	342.4077791718946
4969256.0	342.74314068884996
4999649.0	340.5872968091511
5030042.0	338.6176214015702
5060435.0	338.62142004773267
5090828.0	334.5579796063552
5121221.0	338.7054756637168
5151614.0	336.26379690949227
5182007.0	340.005920496194
5212400.0	337.77267904509284
5242793.0	340.0149892933619
5273186.0	333.41597337770384
5303579.0	341.5103200717918
5333972.0	337.45458705101805
5352383.0	337.99189627228526
5367579.5	334.2578440509475
5394758.0	338.43196225858765
5425151.0	339.79805315203953
5455544.0	338.19826864004466
5485937.0	338.0267636363636
5516330.0	341.6362750556793
5546723.0	337.975260804769
5577116.0	341.5580368514902
5607509.0	338.6082521315469
5637902.0	341.8512498083116
5668295.0	341.8717277486911
5698688.0	339.7906442818195
5729081.0	335.06100274905094
5759474.0	341.43959160521837
5789867.0	339.6951407365915
5820260.0	335.8053866203301
5850653.0	340.7327512167192
5881046.0	339.9839947089947
5907241.5	334.56448966196257
5922438.0	335.7749385749386
5941832.0	340.23482268082546
5972225.0	340.7895113230036
6002618.0	340.75036496350367
6033011.0	340.8143874294132
6063404.0	335.7277764394122
6093797.0	339.79360393603935
6124190.0	339.00091053949467
6154583.0	337.9128962013066
6184976.0	342.1893827160494
6215369.0	342.9780652418448
6245762.0	339.4110473457676
6276155.0	338.49595827900913
6306548.0	336.64143222506397
6336941.0	338.4301807087538
6367334.0	335.35930937937474
6397727.0	344.13026444662097
6428120.0	341.131810611468
6458513.0	342.1767968056788
6488906.0	337.9630264446621
6519299.0	337.2385989656794
6549692.0	337.7615878843506
6580085.0	342.3496275605214
6610478.0	343.15453881723045
6640871.0	338.6229979466119
6660029.5	328.8027090694935
6675226.0	333.3849755267078
6701657.0	339.131737818025
6732050.0	339.53021148036254
6762443.0	343.400328715661
6792836.0	340.7717576791809
6823229.0	335.2624660018132
6853622.0	336.3172690763052
6884015.0	342.39995235826586
6914408.0	339.62778904665316
6944801.0	342.8164556962025
6975194.0	335.28080945884494
7005587.0	340.27091346153844
7035980.0	337.8431464908149
7066373.0	339.5236579673244
7096766.0	339.08672985781993
7127159.0	339.99201690537683
7157552.0	339.00169527442256
7187945.0	338.5869259606373
7218338.0	340.97097687588484
7248731.0	342.56284153005464
7279124.0	340.249936499873
7309517.0	342.7460201280878
7327760.5	329.5559085133418
7342957.0	333.72638436482083
7370303.0	337.6263783783784
7400696.0	341.11745262230056
7431089.0	338.38028870084617
7461482.0	338.9571957427117
7491875.0	338.2071932921447
7522268.0	333.6867965367965
7552661.0	340.12299706612504
7583054.0	337.48051027639974
7613447.0	336.10808858931154
7643840.0	340.36225
7674233.0	340.47121094758586
7704626.0	337.65231175693526
7735019.0	342.368322147651
7765412.0	337.64859320046895
7795805.0	336.49114518951865
7826198.0	329.648157129001
7856591.0	338.4146564885496
7886984.0	337.5375359665184
7917377.0	337.06011796733213
7947770.0	338.49882537196555
7978163.0	338.9581848420052
8008556.0	339.7492323439099
8038949.0	342.35701906412476
8069342.0	335.45040871934606
8099735.0	340.153500660502
8130128.0	341.2393072684335
8160521.0	339.72202756365334
8190914.0	342.79627577033915
8221307.0	342.310135450724
8251700.0	337.11701900491136
8282093.0	335.23053567555843
8312486.0	338.2205222358221
8342879.0	336.9566480988133
8373272.0	340.4809046298272
8398726.5	338.0434527304756
8413923.0	327.61497584541064
8434058.0	339.3586698337292
8464451.0	341.063349646547
8494844.0	336.57767679636464
8525237.0	341.60401983816234
8555630.0	339.54639175257734
8586023.0	339.3508311461067
8616416.0	340.7838671411625
8646809.0	335.1362058993638
8677202.0	338.48153329602684
8707595.0	340.6178489702517
8737988.0	335.98511166253104
8768381.0	332.9750755287009
8798774.0	339.6182357301705
8829167.0	342.268183178689
8859560.0	336.4739970282318
8889953.0	338.3213777398235
8920346.0	338.2265763111373
8950739.0	338.5078828828829
8981132.0	336.8544146138943
9011525.0	339.96334478808706
9041918.0	338.3375685821542
9072311.0	338.291205897841
9102704.0	343.3275956284153
9133097.0	340.31390013495275
9163490.0	340.5801030089455
