#Coverage (X)	Coverage
1.0	99.23313157203134
2.0	99.22317854456304
3.0	99.21051105505792
4.0	99.19378009814014
5.0	99.17026298613034
6.0	99.14243563743177
7.0	99.10859534403956
8.0	99.06263045354959
9.0	99.01256096743427
10.0	98.94847498643797
11.0	98.87226440834392
12.0	98.78109961211983
13.0	98.6793072857395
14.0	98.56407425945568
15.0	98.4309175580864
16.0	98.28532368520301
17.0	98.11767686468119
18.0	97.93607935441867
19.0	97.7252314592989
20.0	97.49983240253333
21.0	97.24859660256287
22.0	96.97737249123044
23.0	96.67727637459741
24.0	96.3470744062834
25.0	95.98940701754242
26.0	95.60030122302966
27.0	95.1724608778159
28.0	94.70261217617188
29.0	94.18931563065385
30.0	93.62657474785321
31.0	93.01806638998347
32.0	92.34976583652112
33.0	91.6161948095373
34.0	90.81322403647908
35.0	89.94513085146505
36.0	88.99836762123877
37.0	87.9873127689528
38.0	86.89902735889835
39.0	85.72804133878913
40.0	84.4863723723699
41.0	83.16763736103292
42.0	81.78278463499328
43.0	80.30953915426412
44.0	78.75377402761595
45.0	77.1043188324852
46.0	75.38256023946491
47.0	73.59676501930353
48.0	71.73760529336549
49.0	69.82549710642459
50.0	67.84462254788455
51.0	65.80376660397357
