#Duplication rate	Coverage
1.0	1790003.0
2.0	645822.0
3.0	231706.0
4.0	108218.0
5.0	51358.0
6.0	27636.0
7.0	15462.0
8.0	9594.0
9.0	5832.0
10.0	3826.0
11.0	2774.0
12.0	1960.0
13.0	1534.0
14.0	1153.0
15.0	871.0
16.0	711.0
17.0	629.0
18.0	509.0
19.0	475.0
20.0	393.0
21.0	338.0
22.0	283.0
23.0	264.0
24.0	264.0
25.0	228.0
26.0	192.0
27.0	195.0
28.0	169.0
29.0	165.0
30.0	153.0
31.0	133.0
32.0	131.0
33.0	124.0
34.0	98.0
35.0	110.0
36.0	105.0
37.0	84.0
38.0	70.0
39.0	82.0
40.0	90.0
41.0	69.0
42.0	75.0
43.0	67.0
44.0	54.0
45.0	73.0
46.0	58.0
47.0	57.0
48.0	60.0
49.0	57.0
50.0	1392.0
