#Read position (bp)	Clipping profile
0.0	1.6163088647227795
1.0	1.333561349646168
2.0	1.2050112003930387
3.0	1.1502374041783794
4.0	1.1131344616640928
5.0	1.0776911445452586
6.0	1.051421953336907
7.0	1.0278808291051247
8.0	1.0069199758963274
9.0	0.9877449904600022
10.0	0.9693875013919377
11.0	0.9523093710470837
12.0	0.9358578339637781
13.0	0.919654163010962
14.0	0.9036106043411951
15.0	0.8878657166609624
16.0	0.8727104732538821
17.0	0.8575629275527176
18.0	0.8428556906299383
19.0	0.8284394269907772
20.0	0.8140508750929133
21.0	0.8001919253620581
22.0	0.7864807715847868
23.0	0.772717273407288
24.0	0.7587443976288787
25.0	0.7451625653109935
26.0	0.7316423146404347
27.0	0.7179080677454159
28.0	0.7043585657923772
29.0	0.6909753342871201
30.0	0.6782925940202035
31.0	0.6656375654945837
32.0	0.653242719428919
33.0	0.6409617994108083
34.0	0.6287270656281927
35.0	0.6167694492585469
36.0	0.6054938496330434
37.0	0.5944630370556632
38.0	0.583954128939376
39.0	0.5738516596954446
40.0	0.5638939073227306
41.0	0.5543210402458081
42.0	0.5451946401120035
43.0	0.5363145665675053
44.0	0.5276854382358632
45.0	0.5193826926350521
46.0	0.5110676307047756
47.0	0.5032082729647162
48.0	0.4952950312832459
49.0	0.48790369406286876
50.0	0.4805862548192835
51.0	0.4738168922369052
52.0	0.46687202195964594
53.0	0.4608000715332415
54.0	0.4548836147663368
55.0	0.4490087256113776
56.0	0.4433709257986258
57.0	0.43754222287916156
58.0	0.4326064538459332
59.0	0.42777075498961065
60.0	0.4233307182173616
61.0	0.4193356088470473
62.0	0.4154975326774159
63.0	0.4120274068505611
64.0	0.40862502083576546
65.0	0.4056767994700037
66.0	0.4028425041517961
67.0	0.40039309412938
68.0	0.3982608295906959
69.0	0.3963887475119668
70.0	0.3946074983630444
71.0	0.3935421358642939
72.0	0.3924444430006969
73.0	0.3917947566214011
74.0	0.39153303462026295
75.0	0.3915807603969411
76.0	0.39180091478613377
77.0	0.3926276484014936
78.0	0.39372842034745686
79.0	0.3947414384459797
80.0	0.3963240867822738
81.0	0.39812227088421104
82.0	0.40028840532892473
83.0	0.4027347362689746
84.0	0.40568757625828583
85.0	0.40877435633053255
86.0	0.4119996951092641
87.0	0.4153805275474954
88.0	0.41896919804545396
89.0	0.4230566798867581
90.0	0.4275629169298833
91.0	0.4322708338680032
92.0	0.4373297661958847
93.0	0.44290290527894355
94.0	0.4484467930795222
95.0	0.4542631796695212
96.0	0.46039671174325214
97.0	0.4664825180403051
98.0	0.4732595783285993
99.0	0.4801490251232645
100.0	0.48728017988368677
101.0	0.4947484941632222
102.0	0.5024231069613018
103.0	0.5101900922303714
104.0	0.5185682753491575
105.0	0.5269295235149289
106.0	0.53566026156466
107.0	0.5446111540035838
108.0	0.5537375541373883
109.0	0.5632226673668705
110.0	0.5732266059750795
111.0	0.5833321543013773
112.0	0.5938272065470158
113.0	0.6048626377479456
114.0	0.6159950600434148
115.0	0.6278818575186349
116.0	0.6399472417711024
117.0	0.6521881337184506
118.0	0.6644644351130116
119.0	0.6769100860377208
120.0	0.6894080813626577
121.0	0.7027281916794049
122.0	0.7161622280437063
123.0	0.7295808689961762
124.0	0.7430010494898291
125.0	0.756401215948101
126.0	0.7701785699962483
127.0	0.7838127467143612
128.0	0.7975439145270136
129.0	0.8114505900345468
130.0	0.8256590156139806
131.0	0.8400952932885227
132.0	0.8546285620576043
133.0	0.8694851344751505
134.0	0.8844233025754045
135.0	0.8997155651477866
136.0	0.9154312015455391
137.0	0.931008279236807
138.0	0.9468501580115791
139.0	0.9632308762004592
140.0	0.9803567323219914
141.0	0.9987788821197487
142.0	1.0183572273460633
143.0	1.0406621000077638
144.0	1.0636843988608196
145.0	1.0908773147790702
146.0	1.1276153860329468
147.0	1.176200226691281
148.0	1.3094428974706984
149.0	1.602725492863711
