#Mapping quality	mapping quality
0.0	209283.0
1.0	159006.0
2.0	46893.0
3.0	31881.0
4.0	24954.0
5.0	22400.0
6.0	21763.0
7.0	20828.0
8.0	23804.0
9.0	29210.0
10.0	36601.0
11.0	28742.0
12.0	19339.0
13.0	17226.0
14.0	16738.0
15.0	18689.0
16.0	19093.0
17.0	19101.0
18.0	17364.0
19.0	18294.0
20.0	18367.0
21.0	17251.0
22.0	17397.0
23.0	15480.0
24.0	16191.0
25.0	15257.0
26.0	14128.0
27.0	14830.0
28.0	15350.0
29.0	15664.0
30.0	16389.0
31.0	17242.0
32.0	17915.0
33.0	19002.0
34.0	20854.0
35.0	24263.0
36.0	30307.0
37.0	39379.0
38.0	61852.0
39.0	148141.0
40.0	474057.0
41.0	1649976.0
42.0	4171354.0
43.0	4448377.0
44.0	46027.0
