#Coverage (X)	Coverage
1.0	99.64915989456371
2.0	99.62618567496126
3.0	99.5442006958071
4.0	99.51177521293104
5.0	99.45164576599446
6.0	99.40162563373434
7.0	99.33199556966893
8.0	99.27372511794543
9.0	99.19601747290987
10.0	99.12534275224242
11.0	99.02811565746944
12.0	98.93801196913246
13.0	98.83300341652063
14.0	98.72389026828344
15.0	98.59098856183277
16.0	98.45379306997842
17.0	98.2958031537936
18.0	98.13210464168895
19.0	97.94294776593605
20.0	97.73687074348705
21.0	97.52006748317136
22.0	97.28023242375549
23.0	97.00909879449095
24.0	96.71490868919862
25.0	96.3918959324609
26.0	96.04752940770027
27.0	95.66487251693557
28.0	95.24500281933898
29.0	94.7843832886201
30.0	94.28993169015156
31.0	93.74218615369367
32.0	93.13535582690122
33.0	92.46232552898078
34.0	91.73457003126978
35.0	90.93493886908108
36.0	90.05781392856277
37.0	89.09921399872749
38.0	88.07096755354173
39.0	86.93832947893434
40.0	85.7149790184423
41.0	84.39971522825542
42.0	82.97059209408819
43.0	81.44110789534186
44.0	79.81986665410885
45.0	78.09550875804725
46.0	76.26808356101226
47.0	74.3474782853319
48.0	72.33462242861273
49.0	70.24838561483182
50.0	68.08732013090287
51.0	65.85794891135677
