#Read position (bp)	Clipping profile
0.0	1.3670078226920939
1.0	1.1694304257834245
2.0	1.0823653288906265
3.0	1.044109311162565
4.0	1.0177105372937256
5.0	0.9922602597321936
6.0	0.9730136888297494
7.0	0.9551503417087949
8.0	0.9390789453964925
9.0	0.9242243700047486
10.0	0.9099782050732842
11.0	0.8964434123723003
12.0	0.883342307127618
13.0	0.8702235215789618
14.0	0.8576403452389277
15.0	0.8450072480406141
16.0	0.8326289552231013
17.0	0.8202475423519462
18.0	0.8079659711973495
19.0	0.7959527246560044
20.0	0.7840497200100262
21.0	0.7720874343448412
22.0	0.7604153136684049
23.0	0.7489543166217748
24.0	0.7372073146579194
25.0	0.7255539143033378
26.0	0.7140949972924695
27.0	0.7026693608537873
28.0	0.691025320660133
29.0	0.6796506450976111
30.0	0.6691662248410705
31.0	0.6589095685004294
32.0	0.6486529121597882
33.0	0.6383681753363649
34.0	0.6281167190851279
35.0	0.6185308742776152
36.0	0.6097302429701213
37.0	0.6011864960791898
38.0	0.5935444446909287
39.0	0.5859907948225372
40.0	0.5789509137872706
41.0	0.572117996310287
42.0	0.5654182011220482
43.0	0.5589326496172583
44.0	0.5528215045495635
45.0	0.546931883290483
46.0	0.5412565057148514
47.0	0.5356331290332609
48.0	0.5304756803622773
49.0	0.5252901512085117
50.0	0.5203251058454799
51.0	0.515796867992392
52.0	0.5111812686373154
53.0	0.5067695127868794
54.0	0.5026905626583057
55.0	0.49862825281582507
56.0	0.4946876250654002
57.0	0.4909300404619997
58.0	0.4875281419738393
59.0	0.4844132884207852
60.0	0.4814741978895895
61.0	0.4785143070007774
62.0	0.47605778476628197
63.0	0.4738779072880844
64.0	0.4716221085045871
65.0	0.46951087220652366
66.0	0.46749219749985316
67.0	0.4655920848315961
68.0	0.46393845640109327
69.0	0.4625188319937747
70.0	0.4614184930758678
71.0	0.46063119954008747
72.0	0.4601091105639161
73.0	0.4595891016235064
74.0	0.459355097600322
75.0	0.4593883781725082
76.0	0.459591181659268
77.0	0.46013407099305575
78.0	0.4608485632771787
79.0	0.461612976419581
80.0	0.4625895532096704
81.0	0.4638999757395029
82.0	0.4654246419527842
83.0	0.46737259544355897
84.0	0.46931118877340633
85.0	0.471634588719157
86.0	0.4739039077351049
87.0	0.4760941853921106
88.0	0.47869631012992075
89.0	0.4814960382650867
90.0	0.4844195285280701
91.0	0.48762694367251713
92.0	0.49110892353750063
93.0	0.49469074511904265
94.0	0.4985138508489349
95.0	0.5025106395649239
96.0	0.5068495941637026
97.0	0.5112103891379784
98.0	0.5158395087255057
99.0	0.5201940635924965
100.0	0.5249230248965824
101.0	0.5300991938894207
102.0	0.5352223219703371
103.0	0.540516012983708
104.0	0.5462662718467586
105.0	0.5520799718005392
106.0	0.5581484761351204
107.0	0.5646101072286516
108.0	0.5711434995559592
109.0	0.5782010608951998
110.0	0.5850797391589394
111.0	0.5925574677220311
112.0	0.6002130393427428
113.0	0.608534222407179
114.0	0.6174835762716302
115.0	0.6268135766804611
116.0	0.6369807914833517
117.0	0.6471168057498179
118.0	0.6573308213573454
119.0	0.6677174799330889
120.0	0.678079178079693
121.0	0.6892656104057866
122.0	0.7008202090616904
123.0	0.7121532839089796
124.0	0.7236517215993191
125.0	0.7353644029731075
126.0	0.7469106814859646
127.0	0.758317597602792
128.0	0.7699335573136642
129.0	0.7817075997424209
130.0	0.7933994807585929
131.0	0.8053804867456325
132.0	0.8175632562015512
133.0	0.8298042666587959
134.0	0.8421035181173663
135.0	0.8544974112030913
136.0	0.8669755457371628
137.0	0.8797968861719047
138.0	0.8927180683232051
139.0	0.9058742945155707
140.0	0.9192957252675453
141.0	0.9338154149016653
142.0	0.9488915141020235
143.0	0.9660694894395181
144.0	0.9835001891220515
145.0	1.0037202167609427
146.0	1.0301855517741547
147.0	1.0642575775676797
148.0	1.1547422532526117
149.0	1.3610381200561905
