#Mapping quality	mapping quality
0.0	234764.0
1.0	143686.0
2.0	42762.0
3.0	31085.0
4.0	25141.0
5.0	22722.0
6.0	20974.0
7.0	21029.0
8.0	22702.0
9.0	29909.0
10.0	37240.0
11.0	27015.0
12.0	20413.0
13.0	18199.0
14.0	17246.0
15.0	18147.0
16.0	17924.0
17.0	18874.0
18.0	18766.0
19.0	18825.0
20.0	17195.0
21.0	17335.0
22.0	17000.0
23.0	16802.0
24.0	17079.0
25.0	16502.0
26.0	16120.0
27.0	16076.0
28.0	16637.0
29.0	15437.0
30.0	16067.0
31.0	17727.0
32.0	20419.0
33.0	22290.0
34.0	24711.0
35.0	28379.0
36.0	36753.0
37.0	51890.0
38.0	96410.0
39.0	245180.0
40.0	757090.0
41.0	2144185.0
42.0	4294797.0
43.0	3381297.0
44.0	36845.0
