#Duplication rate	Coverage
1.0	1774038.0
2.0	759556.0
3.0	279765.0
4.0	146071.0
5.0	69936.0
6.0	39995.0
7.0	22316.0
8.0	13741.0
9.0	8429.0
10.0	5606.0
11.0	3814.0
12.0	2633.0
13.0	1903.0
14.0	1415.0
15.0	1093.0
16.0	835.0
17.0	650.0
18.0	567.0
19.0	443.0
20.0	430.0
21.0	402.0
22.0	339.0
23.0	308.0
24.0	261.0
25.0	207.0
26.0	221.0
27.0	186.0
28.0	161.0
29.0	180.0
30.0	164.0
31.0	127.0
32.0	157.0
33.0	102.0
34.0	133.0
35.0	128.0
36.0	127.0
37.0	111.0
38.0	114.0
39.0	101.0
40.0	89.0
41.0	89.0
42.0	85.0
43.0	92.0
44.0	76.0
45.0	59.0
46.0	74.0
47.0	83.0
48.0	66.0
49.0	76.0
50.0	2313.0
