#Coverage (X)	Coverage
1.0	99.24496827164033
2.0	99.24033723489268
3.0	99.2221585648886
4.0	99.21433597883707
5.0	99.20290233571232
6.0	99.1909916053205
7.0	99.17196569413524
8.0	99.15480700380559
9.0	99.13419354361092
10.0	99.11227220625305
11.0	99.08375390358148
12.0	99.05187131311278
13.0	99.01427190108171
14.0	98.97188516509482
15.0	98.91967701192019
16.0	98.8615710730474
17.0	98.79278825016317
18.0	98.71002183496812
19.0	98.61850333611497
20.0	98.51324801422707
21.0	98.39092448407742
22.0	98.24820136043903
23.0	98.0840257610673
24.0	97.89722141907963
25.0	97.67717725560485
26.0	97.43460305722456
27.0	97.160244976086
28.0	96.85123226294418
29.0	96.50366596323714
30.0	96.12494915524708
31.0	95.70103244152288
32.0	95.22387936930708
33.0	94.69221496400664
34.0	94.10511795365755
35.0	93.45464236757024
36.0	92.73692215375289
37.0	91.94293378234374
38.0	91.08863499986222
39.0	90.14368963663635
40.0	89.11138794968045
41.0	88.00823057792131
42.0	86.81110346583336
43.0	85.53769997051107
44.0	84.18662173272338
45.0	82.72808370084819
46.0	81.18780745909491
47.0	79.56361321219156
48.0	77.86205679723915
49.0	76.07853185441765
50.0	74.22048259022193
51.0	72.30122631991745
