#Coverage (X)	Coverage
1.0	99.86505833420046
2.0	99.84609000251294
3.0	99.7900404742741
4.0	99.76355390530887
5.0	99.72203908743077
6.0	99.69339740012116
7.0	99.6515700078267
8.0	99.61856872997313
9.0	99.57786002506353
10.0	99.53609843790936
11.0	99.48857890098013
12.0	99.4357702759004
13.0	99.37335410033886
14.0	99.29995669199205
15.0	99.21405630699086
16.0	99.12252958249518
17.0	99.01724958367967
18.0	98.9046240860797
19.0	98.77468361094192
20.0	98.63592524700576
21.0	98.47568973040867
22.0	98.2930886917568
23.0	98.09277784472536
24.0	97.86824248042606
25.0	97.61954840399915
26.0	97.33625727506671
27.0	97.0184431244116
28.0	96.66568644426448
29.0	96.26828097643312
30.0	95.8321985373985
31.0	95.34508421207187
32.0	94.80703670816366
33.0	94.21455190195363
34.0	93.56617385471294
35.0	92.83924914689806
36.0	92.05000697123205
37.0	91.18281038125441
38.0	90.24259476248663
39.0	89.21528604054996
40.0	88.1001768101863
41.0	86.89564661981615
42.0	85.60141579759326
43.0	84.22847380194544
44.0	82.76648100020523
45.0	81.21235277642168
46.0	79.56051214495557
47.0	77.84303088605387
48.0	76.04168097585733
49.0	74.14831902825549
50.0	72.18358318037065
51.0	70.16492002002121
