#Read position (bp)	Clipping profile
0.0	2.65176267970167
1.0	1.9013849482914218
2.0	1.5704157879741758
3.0	1.437461615248874
4.0	1.351669283340658
5.0	1.2715555257164386
6.0	1.2160714038228069
7.0	1.1680800325580585
8.0	1.1270486240736952
9.0	1.091129281274925
10.0	1.0560529572237787
11.0	1.0253164936854018
12.0	0.9962525793423112
13.0	0.9686352851701435
14.0	0.9425826337935665
15.0	0.9175146283142144
16.0	0.8934582453320112
17.0	0.8704809263467672
18.0	0.848575927208501
19.0	0.8270958095190373
20.0	0.80613499137811
21.0	0.7857912629604438
22.0	0.7656936960170837
23.0	0.7466212398708346
24.0	0.7278084334988538
25.0	0.7093463229258847
26.0	0.6915485111260434
27.0	0.6737641876261641
28.0	0.6561552120257906
29.0	0.6391127450238205
30.0	0.6237428272171368
31.0	0.6085617456099208
32.0	0.5935627560521918
33.0	0.5788942298435313
34.0	0.5644010515343767
35.0	0.5512094941715538
36.0	0.5381696801833034
37.0	0.5260268381425248
38.0	0.5144842254500548
39.0	0.5032653319566724
40.0	0.49238027388734934
41.0	0.48210893346629646
42.0	0.4722085212941983
43.0	0.46275996717082674
44.0	0.45356431867174235
45.0	0.44488122557121346
46.0	0.4367882455940215
47.0	0.4285232897923142
48.0	0.4207506569392195
49.0	0.4135209281595946
50.0	0.4062777110800078
51.0	0.39945263129924263
52.0	0.39329522236659575
53.0	0.38744467225808404
54.0	0.3818436556988691
55.0	0.3763134527144546
56.0	0.3711710383539472
57.0	0.3658364157189815
58.0	0.360862605107999
59.0	0.35647216347037236
60.0	0.3521795120074701
61.0	0.34823418426858904
62.0	0.34486210927809235
63.0	0.34192840403636027
64.0	0.3389609780447232
65.0	0.33633413162712633
66.0	0.3339804232837597
67.0	0.3312996236663148
68.0	0.32925614622207383
69.0	0.3274959230770346
70.0	0.3261167444059215
71.0	0.32543558525784116
72.0	0.324572334060274
73.0	0.3243059401360248
74.0	0.3247577981847513
75.0	0.32472070535985587
76.0	0.3247915189346563
77.0	0.32490954155932367
78.0	0.3258773270815962
79.0	0.3263898824801517
80.0	0.32764429437661646
81.0	0.3295461446712566
82.0	0.33137718139109623
83.0	0.33374775010941543
84.0	0.3364656425517557
85.0	0.33929481346878243
86.0	0.34204979873601815
87.0	0.34491606247794027
88.0	0.3483319744433134
89.0	0.35201765240792626
90.0	0.35615518842126564
91.0	0.36044109573418687
92.0	0.3653980459702169
93.0	0.37040557733110446
94.0	0.37556485206656437
95.0	0.380980404501302
96.0	0.3867702572599847
97.0	0.3925668541686485
98.0	0.3987310072512763
99.0	0.40558306363196556
100.0	0.41280942033659984
101.0	0.42024484569064496
102.0	0.4280309668437017
103.0	0.43624871359554207
104.0	0.4443079728228291
105.0	0.4530517632731869
106.0	0.4621226449976228
107.0	0.4714565485713176
108.0	0.4813164958435298
109.0	0.4914799298648867
110.0	0.5020176642101888
111.0	0.5135872535025827
112.0	0.5255041665189979
113.0	0.5376739851597003
114.0	0.5503496150489772
115.0	0.56360861391161
116.0	0.5778724911214108
117.0	0.5922240422809646
118.0	0.6068284990648056
119.0	0.6217701633476963
120.0	0.6372682200040188
121.0	0.653720573882652
122.0	0.6710226906588903
123.0	0.688918292633456
124.0	0.7062305256346658
125.0	0.7244431026583382
126.0	0.7427703302316876
127.0	0.762008018052471
128.0	0.7814716348976175
129.0	0.8008273453430683
130.0	0.8219466510085488
131.0	0.8427321212499702
132.0	0.8643235174141203
133.0	0.8867006070510559
134.0	0.9099814127854449
135.0	0.9341389580173628
136.0	0.9588056865728458
137.0	0.9852292661983776
138.0	1.0126206313461819
139.0	1.041333849890261
140.0	1.0730111223509864
141.0	1.1074332638539761
142.0	1.1452780614723201
143.0	1.190726888194234
144.0	1.2389374443333645
145.0	1.2974800382433769
146.0	1.383036324902258
147.0	1.5004283715464177
148.0	1.8477790721674967
149.0	2.6391983282870792
