#Mapping quality	mapping quality
0.0	226272.0
1.0	158419.0
2.0	43438.0
3.0	29866.0
4.0	22996.0
5.0	21446.0
6.0	20187.0
7.0	20784.0
8.0	23286.0
9.0	27746.0
10.0	39672.0
11.0	27162.0
12.0	21946.0
13.0	17685.0
14.0	16886.0
15.0	17268.0
16.0	17306.0
17.0	19088.0
18.0	20533.0
19.0	20468.0
20.0	18100.0
21.0	17445.0
22.0	18307.0
23.0	16898.0
24.0	16907.0
25.0	16258.0
26.0	16205.0
27.0	14512.0
28.0	15181.0
29.0	15509.0
30.0	15728.0
31.0	16582.0
32.0	18577.0
33.0	20685.0
34.0	23559.0
35.0	26606.0
36.0	34775.0
37.0	48915.0
38.0	75179.0
39.0	150292.0
40.0	376186.0
41.0	1225090.0
42.0	4172661.0
43.0	4907257.0
44.0	49537.0
