#Mapping quality	mapping quality
0.0	238089.0
1.0	135351.0
2.0	46678.0
3.0	31231.0
4.0	24023.0
5.0	23436.0
6.0	21856.0
7.0	21621.0
8.0	24564.0
9.0	31490.0
10.0	36816.0
11.0	27967.0
12.0	20527.0
13.0	18505.0
14.0	18209.0
15.0	19115.0
16.0	18887.0
17.0	18264.0
18.0	19082.0
19.0	18890.0
20.0	17926.0
21.0	16521.0
22.0	16789.0
23.0	15663.0
24.0	15081.0
25.0	14538.0
26.0	15244.0
27.0	15271.0
28.0	15390.0
29.0	15916.0
30.0	17289.0
31.0	18763.0
32.0	20283.0
33.0	23080.0
34.0	27262.0
35.0	34907.0
36.0	49012.0
37.0	85519.0
38.0	187988.0
39.0	467270.0
40.0	1174253.0
41.0	2438979.0
42.0	3594714.0
43.0	2965931.0
44.0	69426.0
