Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
A01_Carolyn_S1	51.4344	97.09584774724873	4645211.0	4784150.0	1.68								
A01_Carolyn_S1_qualimap						39.568506834910615	243	99.90608783916895	99.86374223139472	99.77313677886306	85.30644425626002	34.35317865560921	43
A02_Maia_S7	51.1565	97.15402996252827	4711508.0	4849524.0	1.68								
A02_Maia_S7_qualimap						39.893787138624155	235	99.92194687797794	99.88203606039431	99.75754096061522	86.47292262425964	33.72302863222782	43
A04_Ron_S12	64.5403	98.94822413633204	5505309.0	5563828.0	1.67								
A04_Ron_S12_qualimap						39.648899150613666	252	99.91191981972682	99.83474684145608	99.7018204580778	96.39965271337213	70.05737796950837	58
A05_Sarah_S18	36.3075	98.87800919927837	3251192.0	3288084.0	1.79								
A05_Sarah_S18_qualimap						39.18573040554266	252	99.92856029457671	99.87153191487612	99.31046083751025	56.79680318628489	11.953577763785045	32
A06_Larissa_S24	74.1235	95.9299429136005	7336440.0	7647706.0	1.35								
A06_Larissa_S24_qualimap						40.90094697744118	223	99.93106088990758	99.87230512527448	99.76876896267656	97.10724716122795	77.09157731219727	63
A08_Shivanshi_S30	67.9221	99.42333581558398	6280421.0	6316848.0	1.46								
A08_Shivanshi_S30_qualimap						40.23664206860198	226	99.93034525900697	99.88510422506016	99.78124726240334	97.16165978660216	74.83215782046796	61
A09_Megan_S36	62.3415	99.37717578384905	5609933.0	5645092.0	1.6500000000000001								
A09_Megan_S36_qualimap						40.06820198355579	240	99.93240166964092	99.9037106284761	99.81122150380374	95.47875912892091	61.60312837636921	54
A10_Alisha_S42	67.2688	99.49504964793309	5649510.0	5678182.0	1.77								
A10_Alisha_S42_qualimap						39.90239563061542	265	99.86505833420046	99.72203908743077	99.53609843790936	95.8321985373985	72.18358318037066	60
B01_Carolyn__S2	43.5798	98.01278751659827	3895826.0	3974814.0	1.7999999999999998								
B01_Carolyn__S2_qualimap						39.22629660062466	256	99.89458016526139	99.81846829487777	99.33610839093683	63.5359240542876	20.799137623636547	34
B04_Elli__S13	0.0005	0.0007717371339843707	60.0	7774668.0	8.39								
B04_Elli__S13_qualimap						35.5	222	0.02976037469446879	0.00133255409079711	0.0012338463803676944	0.0	0.0	0
B05_Naomi__S19	58.8859	95.96955982284861	5378804.0	5604698.0	1.6199999999999999								
B05_Naomi__S19_qualimap						39.55343198098663	237	99.3418745663544	99.29927396366158	99.25613869420393	93.45766117838087	53.59349121357428	51
B06_Mia__S25	79.642	97.87597275918974	7162411.0	7317844.0	1.54								
B06_Mia__S25_qualimap						40.78272054397295	242	99.2459718000297	99.20435004879863	99.05354111854754	95.19294272773	80.5631932931401	71
B08_Shivanshi_S31	63.4787	99.33489564225621	5572336.0	5609646.0	1.6199999999999999								
B08_Shivanshi_S31_qualimap						39.80068733402447	221	99.93086347448673	99.87855661360167	99.71760546610398	94.27375185128368	68.44182064726759	58
B09_Megan__S37	70.8668	98.53437506865204	6548431.0	6645834.0	1.59								
B09_Megan__S37_qualimap						40.13832231270227	236	99.235813131498	99.215931753489	99.18103035220967	97.76163815316228	81.80458258771311	65
B10_Alisha_S43	22.5135	98.75553792167766	1886689.0	1910464.0	2.45								
B10_Alisha_S43_qualimap						38.99529009245105	265	99.18576009666775	98.65314974247569	93.60916928824749	15.023140788863795	1.0549715577845218	20
C01_Emine_S3	67.027	99.31917287595799	5603403.0	5641814.0	1.7999999999999998								
C01_Emine_S3_qualimap						40.04707367154336	266	99.64915989456371	99.45164576599446	99.12534275224242	94.28993169015156	68.08732013090288	57
C02_Stephanie_S8	69.763	98.13905603045492	6141707.0	6258168.0	1.54								
C02_Stephanie_S8_qualimap						40.37718138939307	224	99.82653765020537	99.65857002962466	99.40511330616953	94.82037047471417	73.10504433415686	61
C04_Anastasia__S14	10.1365	99.20114161030675	885642.0	892774.0	1.8399999999999999								
C04_Anastasia__S14_qualimap						39.36659932115727	279	99.4488079193196	84.53048649328932	41.733258041285325	0.8289884803989107	0.28932875055368856	9
C05_Anisha_S20	60.0769	99.22060530343208	5301986.0	5343634.0	1.68								
C05_Anisha_S20_qualimap						39.34933137262657	237	99.91078468105688	99.83626035968267	99.7439521991461	94.80101553782747	58.87724092207808	53
C06_Cathlin__S26	72.6849	99.02491358823264	6264421.0	6326106.0	1.51								
C06_Cathlin__S26_qualimap						39.939717123787354	234	99.24211397368042	99.20746756731968	99.11395023733036	96.50956374893529	79.84048011430353	66
C08_Caroline__S32	43.8353	99.30940016322796	3820810.0	3847380.0	1.8599999999999999								
C08_Caroline__S32_qualimap						39.10677716727831	264	99.9305344487853	99.90399030032232	99.81956230533503	80.49196745442275	20.83649849203408	39
C09_Cindy__S38	49.8121	95.02751799416846	4474078.0	4708192.0	1.7500000000000002								
C09_Cindy__S38_qualimap						39.93010768608176	243	99.23012098686324	99.19514555480109	99.0815494313819	88.76005430569202	39.30657010859082	45
D01_Jessie_S4	76.6568	98.74473175967941	6514737.0	6597554.0	1.7000000000000002								
D01_Jessie_S4_qualimap						40.38158132512405	253	99.74926596422421	99.52576703088441	99.10607829742361	93.47723820761604	79.3176911772992	70
D02_Jenny_S9	81.8748	97.72633112079477	7633048.0	7810636.0	1.3599999999999999								
D02_Jenny_S9_qualimap						41.04653825215358	221	99.81169036542828	99.64652768895226	99.31727166952987	94.54491838311834	80.7964149359572	72
D04_Hedieh__S15	78.1031	99.50323737081186	6764646.0	6798418.0	1.47								
D04_Hedieh__S15_qualimap						40.219464869816875	228	99.80027317358861	99.64068748275186	99.35390045574172	94.97727460608426	79.80064332750273	69
D05_Chiara__S21	52.5319	97.12963583793392	4722507.0	4862066.0	1.6400000000000001								
D05_Chiara__S21_qualimap						39.59499004029118	232	99.37668548556584	99.32482280937772	99.24828320558225	89.40666383978751	41.75686563536303	46
D06_Larissa_S27	67.3526	97.99903771257698	6252956.0	6380630.0	1.53								
D06_Larissa_S27_qualimap						40.65310092372597	228	99.24496827164033	99.20290233571232	99.11227220625305	96.12494915524708	74.22048259022193	61
D08_Naomi__S33	45.5998	99.38558263806486	3760661.0	3783910.0	2.03								
D08_Naomi__S33_qualimap						38.618557405220415	318	99.92841223301107	99.88129575256609	99.75101802608434	77.17510871214816	26.324087848217154	39
D09_Jade__S39	59.4238	98.69113492142296	5247984.0	5317584.0	1.5699999999999998								
D09_Jade__S39_qualimap						39.60858945963165	229	99.23341124387755	99.20699048005261	99.16151912811479	96.87907606292781	65.0180285520278	55
E01_Isabella__S5	54.7009	97.67448497032319	5065600.0	5186206.0	1.51								
E01_Isabella__S5_qualimap						40.226772019173154	230	99.22439593965834	99.18881181004852	99.09174922812628	89.20901810093768	42.27347711482298	46
E02_Maia_S10	68.1551	98.24019133357578	6164684.0	6275114.0	1.44								
E02_Maia_S10_qualimap						39.71032102921726	228	99.92219364725402	99.88830400000658	99.81245535018411	97.02923516741856	66.11846323610762	56
E04_Ron_S16	32.2234	98.74380871925588	2697748.0	2732068.0	1.8900000000000001								
