#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	2.5432543991942972E-6
4.0	5.0865087983885944E-6
5.0	7.629763197582891E-6
6.0	4.069207038710875E-5
7.0	6.358135997985742E-5
8.0	8.647064957260612E-5
9.0	1.0935993916535477E-4
10.0	1.525952639516578E-4
11.0	2.0600360633473802E-4
12.0	2.5432543991942973E-4
13.0	3.50969107088813E-4
14.0	4.043774494718932E-4
15.0	4.781318270485279E-4
16.0	5.39169932629191E-4
17.0	7.044814685768203E-4
18.0	8.418172061333123E-4
19.0	0.0010783398652583819
20.0	0.001241108146806817
21.0	0.0012233053660124567
22.0	0.0019557626329804144
23.0	0.0023830293720450563
24.0	0.003123116402210597
25.0	0.004590574190545706
26.0	0.005218758027146698
27.0	0.008062116445445923
28.0	0.01141158248918481
29.0	0.015091671604818956
30.0	0.020086623244836555
31.0	0.026098876644531876
32.0	0.03330645961184851
33.0	0.040686983878310365
34.0	0.04881013842933695
35.0	0.055692184833556715
36.0	0.06243689550022
37.0	0.06780316228251995
38.0	0.0698403090562746
39.0	0.07006411544340369
40.0	0.06701729667316891
41.0	0.063143920223196
42.0	0.05675780842681912
43.0	0.049667215161865425
44.0	0.04300643189037556
45.0	0.035681859220695986
46.0	0.02930337718751669
47.0	0.023364878165398003
48.0	0.018611535693303868
49.0	0.014794110840113225
50.0	0.011968555202608361
51.0	0.010663865695821687
52.0	0.006772686465054413
53.0	0.005091595307186982
54.0	0.003173981490194482
55.0	0.0021693960025127358
56.0	0.001480174060331081
57.0	9.918692156857757E-4
58.0	5.874917662138827E-4
59.0	4.2472348466544754E-4
60.0	3.4333934389123007E-4
61.0	2.0346035193554373E-4
62.0	1.0173017596777188E-4
63.0	5.3408342383080235E-5
64.0	6.866786877824602E-5
65.0	2.0346035193554374E-5
66.0	2.797579839113727E-5
67.0	1.2716271995971487E-5
68.0	1.5259526395165782E-5
69.0	2.5432543991942972E-6
70.0	7.629763197582891E-6
71.0	2.5432543991942972E-6
72.0	0.0
73.0	0.0
74.0	5.0865087983885944E-6
75.0	0.0
76.0	2.5432543991942972E-6
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.629763197582891E-6
