#Read position (bp)	Clipping profile
0.0	2.9682818824541135
1.0	2.106732927170673
2.0	1.7253715553122086
3.0	1.569642357228257
4.0	1.4683646307492664
5.0	1.3742094444418667
6.0	1.3100215145567398
7.0	1.252778254676052
8.0	1.204521304979282
9.0	1.1618479318339652
10.0	1.1212239323536555
11.0	1.0852786916179844
12.0	1.05226444189755
13.0	1.0209206250512344
14.0	0.9901026852208452
15.0	0.9615815905923695
16.0	0.9342050518220865
17.0	0.9074471918940699
18.0	0.8819576235926989
19.0	0.8567155268282346
20.0	0.8323550474139997
21.0	0.8091004564303159
22.0	0.7860933369835386
23.0	0.7636198280382158
24.0	0.7423759432918974
25.0	0.7215264663075236
26.0	0.7006073879533949
27.0	0.6795800408018696
28.0	0.6593260422031773
29.0	0.6398144582152043
30.0	0.6217877034486705
31.0	0.6041476229585532
32.0	0.5866622121790024
33.0	0.570104819662851
34.0	0.5544522449535141
35.0	0.5390548752666119
36.0	0.5237039064928798
37.0	0.5096134958602652
38.0	0.49553081871317894
39.0	0.4814094741384511
40.0	0.4686956239298789
41.0	0.45587350492391027
42.0	0.44414954086296415
43.0	0.4324101098309615
44.0	0.42124295672805506
45.0	0.41074861686611325
46.0	0.39964333164743354
47.0	0.3888473858498869
48.0	0.37938933304874106
49.0	0.3699931481318219
50.0	0.36106097234660245
51.0	0.3525850722075544
52.0	0.3443953110330545
53.0	0.33697116492585905
54.0	0.33066837422027134
55.0	0.32412584546330536
56.0	0.31728171077073464
57.0	0.31073144852824036
58.0	0.30480759861354073
59.0	0.2990848193225776
60.0	0.2941199216133907
61.0	0.28948756378192186
62.0	0.2851026774873596
63.0	0.28145247231798853
64.0	0.27786413503284413
65.0	0.27413659500818977
66.0	0.27120560399295324
67.0	0.26866128725413313
68.0	0.26605510263108645
69.0	0.2634953189212097
70.0	0.2612680750890511
71.0	0.26001525043346185
72.0	0.2590485647424208
73.0	0.258252015733003
74.0	0.25827521618958793
75.0	0.2582829496751163
76.0	0.2585845556107211
77.0	0.25907176519900577
78.0	0.2604096581954066
79.0	0.2617320842207508
80.0	0.2637969248568145
81.0	0.26603190217450146
82.0	0.2687772895370581
83.0	0.2713448067324632
84.0	0.2742293968345297
85.0	0.27776359972097586
86.0	0.281274602150837
87.0	0.2846773357833015
88.0	0.2892014248173737
89.0	0.2940425867581074
90.0	0.2987290789882745
91.0	0.3050009357517489
92.0	0.31073144852824036
93.0	0.31800092492486914
94.0	0.3248682600740249
95.0	0.33113238335197104
96.0	0.3377909143918619
97.0	0.3453310627819822
98.0	0.3536213592683504
99.0	0.361803386957322
100.0	0.3709753007939196
101.0	0.3801549481160456
102.0	0.3896439348593047
103.0	0.4001460082067749
104.0	0.41033874213311183
105.0	0.42118108884382843
106.0	0.43234050846120653
107.0	0.44385566841288765
108.0	0.45540176230668217
109.0	0.46857188816142564
110.0	0.4815796108200742
111.0	0.4951596114078192
112.0	0.5096366963168503
113.0	0.5235028358691433
114.0	0.5386991349323088
115.0	0.5539959693073426
116.0	0.569942416466756
117.0	0.5858037952853579
118.0	0.6029179987595489
119.0	0.6204266099956848
120.0	0.6382213601963687
121.0	0.6576788097856432
122.0	0.6773682639407677
123.0	0.6979625359027065
124.0	0.7187578784883819
125.0	0.7391974807397543
126.0	0.7599928233254297
127.0	0.7824817992418089
128.0	0.8050481100134719
129.0	0.8273824162192845
130.0	0.8509695470806865
131.0	0.8749897531316749
132.0	0.900742259941009
133.0	0.9265411676635129
134.0	0.9536857018679462
135.0	0.9824542680333284
136.0	1.0106196223275008
137.0	1.041043154395945
138.0	1.0729205817437153
139.0	1.1062287039142262
140.0	1.1428622248619185
141.0	1.182372602426149
142.0	1.2256569209282038
143.0	1.2776336771641
144.0	1.3326806271547424
145.0	1.4014931813858096
146.0	1.501564484122381
147.0	1.6387487839094006
148.0	2.0372243592420567
149.0	2.9294907190440176
