#Mapping quality	mapping quality
0.0	209637.0
1.0	169475.0
2.0	43777.0
3.0	28546.0
4.0	24122.0
5.0	21577.0
6.0	20082.0
7.0	20746.0
8.0	22327.0
9.0	27704.0
10.0	37657.0
11.0	27580.0
12.0	21555.0
13.0	18634.0
14.0	16898.0
15.0	16739.0
16.0	16905.0
17.0	16645.0
18.0	17551.0
19.0	17128.0
20.0	17802.0
21.0	17360.0
22.0	17490.0
23.0	16383.0
24.0	14517.0
25.0	13926.0
26.0	13669.0
27.0	13045.0
28.0	13200.0
29.0	13648.0
30.0	13384.0
31.0	14150.0
32.0	14256.0
33.0	16741.0
34.0	18475.0
35.0	21294.0
36.0	25772.0
37.0	32217.0
38.0	43431.0
39.0	73496.0
40.0	186826.0
41.0	765357.0
42.0	3547944.0
43.0	6287586.0
44.0	57714.0
