#Duplication rate	Coverage
1.0	1561856.0
2.0	612949.0
3.0	209513.0
4.0	104904.0
5.0	49521.0
6.0	27722.0
7.0	15365.0
8.0	9499.0
9.0	5878.0
10.0	4009.0
11.0	2750.0
12.0	1989.0
13.0	1494.0
14.0	1116.0
15.0	845.0
16.0	662.0
17.0	645.0
18.0	495.0
19.0	408.0
20.0	378.0
21.0	369.0
22.0	305.0
23.0	281.0
24.0	250.0
25.0	221.0
26.0	196.0
27.0	207.0
28.0	178.0
29.0	168.0
30.0	169.0
31.0	167.0
32.0	142.0
33.0	115.0
34.0	133.0
35.0	137.0
36.0	106.0
37.0	104.0
38.0	91.0
39.0	86.0
40.0	90.0
41.0	92.0
42.0	82.0
43.0	82.0
44.0	69.0
45.0	79.0
46.0	75.0
47.0	74.0
48.0	78.0
49.0	67.0
50.0	2443.0
