#Mapping quality	mapping quality
0.0	213899.0
1.0	156558.0
2.0	46169.0
3.0	30883.0
4.0	24369.0
5.0	21697.0
6.0	20419.0
7.0	20544.0
8.0	22192.0
9.0	28922.0
10.0	37994.0
11.0	28751.0
12.0	20735.0
13.0	17001.0
14.0	16807.0
15.0	17463.0
16.0	18374.0
17.0	18236.0
18.0	19749.0
19.0	18661.0
20.0	17209.0
21.0	17252.0
22.0	16826.0
23.0	17557.0
24.0	15381.0
25.0	14554.0
26.0	14767.0
27.0	14220.0
28.0	15736.0
29.0	16572.0
30.0	15603.0
31.0	15995.0
32.0	16649.0
33.0	19787.0
34.0	23255.0
35.0	25524.0
36.0	32034.0
37.0	41120.0
38.0	63254.0
39.0	126970.0
40.0	384183.0
41.0	1385682.0
42.0	4016608.0
43.0	4946825.0
44.0	75611.0
