#Coverage	Number of genomic locations
1320.0	28.0
1321.0	33.0
1322.0	29.0
1323.0	29.0
1324.0	29.0
1325.0	31.0
1326.0	23.0
1327.0	21.0
1328.0	24.0
1329.0	23.0
1330.0	22.0
1331.0	23.0
1332.0	24.0
1333.0	30.0
1334.0	24.0
1335.0	26.0
1336.0	21.0
1337.0	35.0
1338.0	22.0
1339.0	19.0
1340.0	19.0
1341.0	19.0
1342.0	27.0
1343.0	26.0
1344.0	22.0
1345.0	21.0
1346.0	28.0
1347.0	30.0
1348.0	25.0
1349.0	24.0
1350.0	28.0
1351.0	22.0
1352.0	27.0
1353.0	19.0
1354.0	27.0
1355.0	27.0
1356.0	29.0
1357.0	21.0
1358.0	24.0
1359.0	27.0
1360.0	22.0
1361.0	26.0
1362.0	27.0
1363.0	33.0
1364.0	23.0
1365.0	29.0
1366.0	16.0
1367.0	40.0
1368.0	24.0
1369.0	30.0
1370.0	30.0
1371.0	26.0
1372.0	27.0
1373.0	28.0
1374.0	22.0
1375.0	27.0
1376.0	29.0
1377.0	23.0
1378.0	32.0
1379.0	39.0
1380.0	26.0
1381.0	26.0
1382.0	26.0
1383.0	25.0
1384.0	28.0
1385.0	26.0
1386.0	35.0
1387.0	27.0
1388.0	24.0
1389.0	30.0
1390.0	24.0
1391.0	32.0
1392.0	21.0
1393.0	32.0
1394.0	35.0
1395.0	30.0
1396.0	32.0
1397.0	30.0
1398.0	22.0
1399.0	27.0
1400.0	27.0
1401.0	28.0
1402.0	29.0
1403.0	29.0
1404.0	18.0
1405.0	23.0
1406.0	32.0
1407.0	35.0
1408.0	30.0
1409.0	32.0
1410.0	31.0
1411.0	32.0
1412.0	43.0
1413.0	29.0
1414.0	32.0
1415.0	40.0
1416.0	31.0
1417.0	37.0
1418.0	22.0
1419.0	26.0
1420.0	31.0
1421.0	33.0
1422.0	27.0
1423.0	35.0
1424.0	19.0
1425.0	27.0
1426.0	30.0
1427.0	33.0
1428.0	30.0
1429.0	38.0
1430.0	28.0
1431.0	36.0
1432.0	25.0
1433.0	41.0
1434.0	25.0
1435.0	36.0
1436.0	31.0
1437.0	34.0
1438.0	31.0
1439.0	34.0
1440.0	31.0
1441.0	36.0
1442.0	31.0
1443.0	33.0
1444.0	28.0
1445.0	27.0
1446.0	44.0
1447.0	32.0
1448.0	25.0
1449.0	24.0
1450.0	26.0
1451.0	21.0
1452.0	28.0
1453.0	29.0
1454.0	35.0
1455.0	38.0
1456.0	38.0
1457.0	28.0
1458.0	25.0
1459.0	26.0
1460.0	36.0
1461.0	34.0
1462.0	35.0
1463.0	35.0
1464.0	30.0
1465.0	31.0
1466.0	32.0
1467.0	32.0
1468.0	23.0
1469.0	30.0
1470.0	31.0
1471.0	32.0
1472.0	24.0
1473.0	23.0
1474.0	31.0
1475.0	28.0
1476.0	23.0
1477.0	40.0
1478.0	24.0
1479.0	27.0
1480.0	26.0
1481.0	33.0
1482.0	29.0
1483.0	30.0
1484.0	27.0
1485.0	24.0
1486.0	23.0
1487.0	23.0
1488.0	24.0
1489.0	21.0
1490.0	31.0
1491.0	21.0
1492.0	32.0
1493.0	36.0
1494.0	27.0
1495.0	28.0
1496.0	25.0
1497.0	18.0
1498.0	29.0
1499.0	26.0
1500.0	30.0
1501.0	30.0
1502.0	32.0
1503.0	26.0
1504.0	31.0
1505.0	25.0
1506.0	15.0
1507.0	32.0
1508.0	27.0
1509.0	29.0
1510.0	26.0
1511.0	28.0
1512.0	27.0
1513.0	26.0
1514.0	21.0
1515.0	20.0
1516.0	26.0
1517.0	31.0
1518.0	25.0
1519.0	27.0
1520.0	26.0
1521.0	33.0
1522.0	24.0
1523.0	23.0
1524.0	21.0
1525.0	28.0
1526.0	29.0
1527.0	19.0
1528.0	26.0
1529.0	30.0
1530.0	29.0
1531.0	28.0
1532.0	20.0
1533.0	18.0
1534.0	17.0
1535.0	22.0
1536.0	20.0
1537.0	15.0
1538.0	27.0
1539.0	21.0
1540.0	22.0
1541.0	20.0
1542.0	37.0
1543.0	29.0
1544.0	15.0
1545.0	26.0
1546.0	20.0
1547.0	19.0
1548.0	37.0
1549.0	28.0
1550.0	23.0
1551.0	20.0
1552.0	29.0
1553.0	20.0
1554.0	24.0
1555.0	28.0
1556.0	20.0
1557.0	20.0
1558.0	17.0
1559.0	17.0
1560.0	21.0
1561.0	20.0
1562.0	14.0
1563.0	12.0
1564.0	19.0
1565.0	15.0
1566.0	15.0
1567.0	22.0
1568.0	18.0
1569.0	19.0
1570.0	23.0
1571.0	18.0
1572.0	19.0
1573.0	27.0
1574.0	22.0
1575.0	10.0
1576.0	16.0
1577.0	27.0
1578.0	14.0
1579.0	16.0
1580.0	14.0
1581.0	21.0
1582.0	24.0
1583.0	14.0
1584.0	16.0
1585.0	21.0
1586.0	15.0
1587.0	18.0
1588.0	19.0
1589.0	16.0
1590.0	15.0
1591.0	13.0
1592.0	10.0
1593.0	18.0
1594.0	14.0
1595.0	18.0
1596.0	19.0
1597.0	19.0
1598.0	10.0
1599.0	13.0
1600.0	21.0
1601.0	26.0
1602.0	12.0
1603.0	13.0
1604.0	24.0
1605.0	16.0
1606.0	14.0
1607.0	16.0
1608.0	14.0
1609.0	23.0
1610.0	25.0
1611.0	22.0
1612.0	17.0
1613.0	24.0
1614.0	15.0
1615.0	20.0
1616.0	20.0
1617.0	20.0
1618.0	18.0
1619.0	25.0
1620.0	20.0
1621.0	19.0
1622.0	15.0
1623.0	18.0
1624.0	9.0
1625.0	13.0
1626.0	18.0
1627.0	14.0
1628.0	22.0
1629.0	25.0
1630.0	22.0
1631.0	14.0
1632.0	24.0
1633.0	13.0
1634.0	21.0
1635.0	9.0
1636.0	13.0
1637.0	16.0
1638.0	14.0
1639.0	17.0
1640.0	21.0
1641.0	10.0
1642.0	16.0
1643.0	14.0
1644.0	14.0
1645.0	14.0
1646.0	12.0
1647.0	16.0
1648.0	14.0
1649.0	16.0
1650.0	21.0
1651.0	16.0
1652.0	15.0
1653.0	8.0
1654.0	17.0
1655.0	15.0
1656.0	20.0
1657.0	18.0
