#Mapping quality	mapping quality
0.0	194460.0
1.0	181739.0
2.0	40742.0
3.0	30159.0
4.0	24429.0
5.0	21894.0
6.0	19823.0
7.0	20199.0
8.0	23193.0
9.0	28691.0
10.0	39233.0
11.0	32960.0
12.0	20027.0
13.0	17871.0
14.0	16539.0
15.0	17076.0
16.0	17590.0
17.0	18211.0
18.0	18563.0
19.0	19100.0
20.0	19256.0
21.0	18840.0
22.0	22610.0
23.0	17348.0
24.0	17185.0
25.0	15363.0
26.0	14940.0
27.0	14168.0
28.0	15147.0
29.0	14715.0
30.0	14915.0
31.0	15290.0
32.0	16527.0
33.0	18589.0
34.0	20508.0
35.0	23409.0
36.0	29247.0
37.0	38204.0
38.0	53292.0
39.0	84889.0
40.0	175952.0
41.0	540726.0
42.0	2763696.0
43.0	7263205.0
44.0	96103.0
